Name,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
367,Julius Randle,randlju01,PF,21,LAL,81,60,28.2,4.4,10.3,.429,0.1,0.4,.278,4.3,9.9,.436,.435,2.4,3.3,.715,2.1,8.1,10.2,1.8,0.7,0.4,1.8,3.0,11.3
368,Zach Randolph,randoza01,PF,34,MEM,68,53,29.6,6.3,13.3,.475,0.1,0.4,.231,6.3,13.0,.482,.479,2.5,3.2,.796,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3
369,J.J. Redick,redicjj01,SG,31,LAC,75,75,28.0,5.6,11.7,.480,2.7,5.6,.475,3.0,6.1,.484,.593,2.4,2.7,.888,0.1,1.7,1.9,1.4,0.6,0.1,1.0,1.8,16.3
370,Willie Reed,reedwi02,PF,25,BRK,39,2,10.9,1.9,3.4,.571,0.0,0.0,,1.9,3.4,.571,.571,0.8,1.4,.545,1.3,1.9,3.1,0.3,0.2,0.8,0.4,1.2,4.7
371,Josh Richardson,richajo01,SG,22,MIA,52,2,21.3,2.4,5.2,.452,1.0,2.2,.461,1.3,3.0,.446,.550,0.8,1.2,.667,0.4,1.7,2.1,1.4,0.7,0.5,0.7,2.1,6.6
372,Austin Rivers,riverau01,SG,23,LAC,67,7,21.9,3.4,7.7,.438,0.9,2.8,.335,2.4,4.9,.495,.498,1.2,1.7,.681,0.3,1.6,1.9,1.5,0.7,0.1,0.9,2.0,8.9
373,Andre Roberson,roberan03,SG,24,OKC,70,70,22.2,1.9,3.9,.496,0.5,1.5,.311,1.5,2.4,.608,.555,0.5,0.8,.611,1.1,2.5,3.6,0.7,0.8,0.6,0.5,1.9,4.8
374,Brian Roberts,roberbr01,PG,30,TOT,51,0,9.2,1.5,3.2,.448,0.3,0.8,.357,1.2,2.4,.480,.494,0.8,0.9,.894,0.1,0.7,0.8,1.1,0.2,0.0,0.5,0.7,4.0
374,Brian Roberts,roberbr01,PG,30,CHO,30,0,11.1,1.7,3.8,.443,0.3,0.9,.333,1.4,2.9,.477,.483,1.1,1.2,.919,0.1,0.8,1.0,1.3,0.2,0.0,0.5,0.8,4.8
374,Brian Roberts,roberbr01,PG,30,POR,21,0,6.5,1.1,2.4,.460,0.3,0.7,.400,0.8,1.7,.486,.520,0.4,0.5,.800,0.1,0.5,0.6,0.8,0.1,0.0,0.3,0.6,2.9
375,Glenn Robinson,robingl02,SF,22,IND,45,4,11.3,1.4,3.4,.430,0.3,0.8,.378,1.1,2.5,.447,.477,0.6,0.9,.692,0.3,1.2,1.5,0.6,0.4,0.2,0.4,0.5,3.8
376,Nate Robinson,robinna01,PG,31,NOP,2,1,11.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,2.0,0.5,0.0,0.0,2.5,0.0
377,Thomas Robinson,robinth01,PF,24,BRK,71,7,12.9,1.8,4.1,.447,0.0,0.0,.000,1.8,4.1,.448,.447,0.7,1.5,.431,1.9,3.1,5.1,0.6,0.5,0.5,1.0,1.6,4.3
378,Rajon Rondo,rondora01,PG,29,SAC,72,72,35.2,4.9,10.9,.454,0.9,2.4,.365,4.1,8.5,.479,.494,1.2,2.1,.580,1.1,5.0,6.0,11.7,2.0,0.1,3.9,2.4,11.9
379,Derrick Rose,rosede01,PG,27,CHI,66,66,31.8,6.8,15.9,.427,0.7,2.3,.293,6.1,13.6,.449,.448,2.2,2.7,.793,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,16.4
380,Terrence Ross,rosste01,SF,24,TOR,73,7,23.9,3.7,8.6,.431,1.8,4.6,.386,1.9,3.9,.484,.536,0.7,0.8,.790,0.3,2.2,2.5,0.8,0.7,0.3,0.6,1.6,9.9
381,Terry Rozier,roziete01,PG,21,BOS,39,0,8.0,0.7,2.7,.274,0.2,0.7,.222,0.6,2.0,.291,.302,0.2,0.3,.800,0.6,1.0,1.6,0.9,0.2,0.0,0.5,0.6,1.8
382,Ricky Rubio,rubiori01,PG,25,MIN,76,76,30.6,2.9,7.7,.374,0.8,2.5,.326,2.1,5.2,.396,.427,3.5,4.1,.847,0.5,3.8,4.3,8.7,2.1,0.1,2.5,2.6,10.1
383,Damjan Rudez,rudezda01,SF,29,MIN,33,0,8.4,0.8,1.9,.403,0.5,1.5,.340,0.2,0.4,.667,.540,0.2,0.2,1.000,0.2,0.5,0.6,0.3,0.1,0.0,0.4,1.0,2.3
384,Brandon Rush,rushbr01,SG,30,GSW,72,25,14.7,1.5,3.6,.427,0.9,2.2,.414,0.6,1.4,.447,.552,0.3,0.4,.643,0.3,2.2,2.5,0.8,0.3,0.3,0.5,0.8,4.2
385,D'Angelo Russell,russeda01,PG,19,LAL,80,48,28.2,4.9,12.0,.410,1.6,4.6,.351,3.3,7.3,.447,.478,1.8,2.4,.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2
386,Robert Sacre,sacrero01,C,26,LAL,25,1,12.8,1.2,3.0,.413,0.0,0.0,,1.2,3.0,.413,.413,1.0,1.5,.658,1.3,1.6,2.9,0.6,0.2,0.4,0.5,1.7,3.5
387,JaKarr Sampson,sampsja02,SF,22,TOT,73,40,15.9,1.9,4.3,.442,0.2,0.9,.222,1.7,3.5,.496,.464,1.1,1.7,.656,0.6,2.0,2.6,0.6,0.3,0.5,1.0,1.9,5.1
387,JaKarr Sampson,sampsja02,SF,22,PHI,47,18,14.7,1.8,4.3,.426,0.1,0.7,.176,1.7,3.6,.476,.441,1.3,2.1,.639,0.6,2.1,2.7,0.6,0.2,0.3,1.1,1.9,5.1
387,JaKarr Sampson,sampsja02,SF,22,DEN,26,22,18.0,2.1,4.4,.470,0.3,1.1,.276,1.8,3.3,.535,.504,0.7,1.0,.720,0.6,1.7,2.3,0.6,0.5,0.7,0.7,2.0,5.2
388,Dennis Schroder,schrode01,PG,22,ATL,80,6,20.3,4.1,9.8,.421,1.0,3.0,.322,3.2,6.8,.465,.471,1.8,2.3,.791,0.3,2.2,2.6,4.4,0.9,0.1,2.3,1.7,11.0
389,Luis Scola,scolalu01,PF,35,TOR,76,76,21.5,3.5,7.9,.450,0.9,2.1,.404,2.7,5.8,.467,.504,0.8,1.1,.726,1.1,3.6,4.7,0.9,0.6,0.4,0.9,2.3,8.7
390,Mike Scott,scottmi01,PF,27,ATL,75,0,15.3,2.3,5.0,.468,0.8,2.1,.392,1.5,2.9,.523,.551,0.7,0.8,.794,0.7,2.0,2.7,1.0,0.3,0.2,0.6,1.4,6.2
391,Thabo Sefolosha,sefolth01,SF,31,ATL,75,11,23.4,2.5,5.0,.505,0.6,1.7,.339,1.9,3.3,.589,.562,0.8,1.3,.626,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,6.4
392,Kevin Seraphin,serapke01,C,26,NYK,48,0,11.0,1.8,4.3,.410,0.0,0.0,.000,1.8,4.2,.414,.410,0.4,0.5,.826,0.6,2.0,2.6,1.0,0.2,0.8,0.9,1.4,3.9
393,Ramon Sessions,sessira01,PG,29,WAS,82,5,20.3,3.4,7.2,.473,0.4,1.4,.324,3.0,5.9,.507,.503,2.6,3.5,.756,0.3,2.2,2.5,2.9,0.6,0.1,1.4,1.2,9.9
394,Iman Shumpert,shumpim01,SG,25,CLE,54,5,24.4,2.1,5.6,.374,0.8,2.7,.295,1.3,2.9,.447,.444,0.7,0.9,.784,0.6,3.2,3.8,1.7,1.0,0.4,1.1,2.2,5.8
395,Jonathon Simmons,simmojo02,SG,26,SAS,55,2,14.8,2.2,4.4,.504,0.3,0.9,.383,1.9,3.5,.533,.541,1.3,1.7,.750,0.3,1.5,1.7,1.1,0.4,0.1,1.0,1.9,6.0
396,Henry Sims,simshe01,C,25,BRK,14,4,18.8,2.4,5.5,.429,0.0,0.0,,2.4,5.5,.429,.429,1.8,2.1,.833,1.5,3.6,5.1,0.6,0.6,1.0,0.9,2.6,6.5
397,Kyle Singler,singlky01,SF,27,OKC,68,2,14.4,1.3,3.3,.389,0.4,1.4,.309,0.8,1.8,.452,.457,0.4,0.6,.659,0.7,1.3,2.1,0.4,0.4,0.1,0.5,1.8,3.4
398,Donald Sloan,sloando01,PG,28,BRK,61,33,21.6,2.5,5.7,.440,0.6,1.6,.384,1.9,4.1,.462,.494,1.3,1.7,.750,0.3,2.6,2.8,4.4,0.5,0.1,1.3,1.2,7.0
399,Marcus Smart,smartma01,PG,21,BOS,61,10,27.3,3.0,8.7,.348,1.0,4.0,.253,2.0,4.7,.427,.405,2.1,2.7,.777,1.2,2.9,4.2,3.0,1.5,0.3,1.3,3.0,9.1
400,Greg Smith,smithgr02,PF,25,MIN,18,0,10.7,1.0,1.8,.563,0.0,0.0,,1.0,1.8,.563,.563,0.4,0.9,.412,0.7,1.7,2.3,0.3,0.2,0.1,0.4,1.6,2.4
401,Ish Smith,smithis01,PG,27,TOT,77,53,29.1,5.2,12.6,.411,0.7,2.2,.329,4.4,10.4,.428,.440,1.6,2.3,.693,0.6,3.4,4.0,6.5,1.1,0.3,2.3,1.7,12.6
401,Ish Smith,smithis01,PG,27,NOP,27,3,22.9,3.6,8.4,.430,0.4,1.2,.303,3.3,7.2,.451,.452,1.2,1.6,.767,0.5,2.9,3.4,5.7,0.9,0.2,1.7,1.4,8.9
401,Ish Smith,smithis01,PG,27,PHI,50,50,32.4,6.0,14.8,.405,0.9,2.7,.336,5.1,12.0,.420,.436,1.8,2.7,.669,0.6,3.7,4.3,7.0,1.3,0.4,2.6,1.9,14.7
402,J.R. Smith,smithjr01,SG,30,CLE,77,77,30.7,4.6,11.0,.415,2.6,6.6,.400,1.9,4.4,.438,.535,0.6,0.9,.634,0.6,2.3,2.8,1.7,1.1,0.3,0.8,2.6,12.4
403,Jason Smith,smithja02,C,29,ORL,76,2,15.5,3.2,6.6,.485,0.1,0.2,.250,3.2,6.4,.493,.489,0.7,0.9,.806,0.7,2.2,2.9,0.8,0.4,0.9,0.8,2.1,7.2
404,Josh Smith,smithjo03,PF,30,TOT,55,7,16.0,2.3,6.3,.364,0.7,2.6,.287,1.6,3.7,.417,.423,0.7,1.2,.552,0.9,2.6,3.5,1.6,0.6,0.9,1.4,2.1,6.0
404,Josh Smith,smithjo03,PF,30,LAC,32,1,14.3,2.2,5.6,.383,0.6,1.8,.310,1.6,3.8,.418,.433,0.8,1.3,.595,1.0,2.9,3.9,1.3,0.6,1.1,1.3,1.9,5.7
404,Josh Smith,smithjo03,PF,30,HOU,23,6,18.3,2.5,7.3,.343,1.0,3.7,.271,1.5,3.7,.417,.411,0.5,1.1,.480,0.8,2.1,2.9,2.1,0.7,0.6,1.6,2.4,6.6
405,Russ Smith,smithru01,PG,24,MEM,15,0,4.4,0.5,1.5,.318,0.1,0.3,.200,0.4,1.1,.353,.341,0.5,0.9,.615,0.1,0.5,0.6,0.7,0.3,0.1,0.5,0.3,1.5
406,Tony Snell,snellto01,SF,24,CHI,64,33,20.3,2.0,5.3,.372,0.9,2.4,.361,1.1,2.9,.380,.454,0.5,0.5,.909,0.3,2.8,3.1,1.0,0.3,0.3,0.8,1.6,5.3
407,Marreese Speights,speigma01,C,28,GSW,72,0,11.6,2.7,6.3,.432,0.3,0.9,.387,2.4,5.5,.439,.458,1.3,1.6,.825,1.1,2.3,3.3,0.8,0.3,0.5,0.9,1.6,7.1
