"Season","wOBA","wOBAScale","wBB","wHBP","w1B","w2B","w3B","wHR","runSB","runCS","R/PA","R/W","cFIP"
"1895",".361","1.091",".791",".818",".960","1.287","1.582","1.888",".200","-.583",".166","13.289","3.727"
"1894",".379",".996",".801",".825",".955","1.254","1.523","1.773",".200","-.642",".184","14.483","3.929"
"1893",".356","1.129",".794",".823",".969","1.308","1.613","1.937",".200","-.571",".162","13.044","3.374"
"1892",".317","1.332",".762",".795",".969","1.368","1.728","2.182",".200","-.464",".133","10.869","2.530"
"1891",".332","1.250",".778",".809",".971","1.347","1.684","2.082",".200","-.508",".146","11.776","2.679"
"1890",".337","1.210",".784",".814",".971","1.334","1.661","2.031",".200","-.533",".153","12.283","2.968"
"1889",".333","1.204",".776",".806",".963","1.324","1.649","2.019",".200","-.530",".154","12.219","3.080"
"1888",".291","1.363",".732",".766",".943","1.352","1.721","2.199",".200","-.443",".131","10.445","2.659"
"1887",".332","1.146",".771",".800",".949","1.293","1.602","1.936",".200","-.562",".165","12.860","3.277"
"1886",".303","1.282",".751",".783",".950","1.335","1.681","2.097",".200","-.495",".146","11.506","3.101"
"1885",".288","1.320",".733",".766",".937","1.333","1.690","2.136",".200","-.469",".140","10.980","2.881"
"1884",".279","1.288",".725",".757",".925","1.311","1.659","2.082",".200","-.487",".146","11.352","3.269"
"1883",".286","1.235",".727",".758",".918","1.289","1.622","2.015",".200","-.509",".151","11.786","3.256"
"1882",".276","1.296",".717",".749",".918","1.307","1.657","2.091",".200","-.475",".141","11.106","2.764"
"1881",".290","1.314",".725",".757",".928","1.322","1.677","2.129",".200","-.456",".135","10.725","2.688"
"1880",".267","1.371",".701",".735",".913","1.324","1.694","2.186",".200","-.428",".127","10.143","2.533"
"1879",".271","1.309",".711",".743",".913","1.306","1.659","2.103",".200","-.467",".138","10.939","2.739"
"1878",".279","1.353",".726",".760",".936","1.342","1.707","2.173",".200","-.457",".136","10.733","2.536"
"1877",".289","1.275",".735",".767",".933","1.315","1.660","2.074",".200","-.495",".146","11.497","2.839"
"1876",".277","1.292",".737",".769",".937","1.325","1.674","2.087",".200","-.506",".150","11.722","2.233"
"1875",".261","1.274",".730",".761",".927","1.309","1.654","2.045",".200","-.531",".156","12.231","2.370"
"1874",".282","1.145",".760",".789",".938","1.281","1.591","1.886",".200","-.629",".179","14.227","2.808"
"1873",".303","1.025",".788",".814",".947","1.255","1.531","1.739",".200","-.741",".207","16.482","2.932"
"1872",".297","1.020",".791",".816",".949","1.255","1.530","1.725",".200","-.763",".213","16.926","3.508"
"1871",".312",".909",".797",".820",".938","1.211","1.456","1.584",".200","-.863",".237","18.954","3.580"
