RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,year,Player,pos
162.0,"Victor Oladipo, SG",ORL,72.0,35.7,1.28,-1.59,-0.31,3.29,2015,Victor Oladipo, SG
163.0,"Brandan Wright, PF",BOS/DAL/PHX,75.0,19.3,-0.49,0.16,-0.33,1.84,2015,Brandan Wright, PF
164.0,"Dwyane Wade, SG",MIA,62.0,31.8,1.61,-1.95,-0.34,2.41,2015,Dwyane Wade, SG
166.0,"Rodney Stuckey, PG",IND,71.0,26.4,-0.19,-0.15,-0.34,2.31,2015,Rodney Stuckey, PG
167.0,"Goran Dragic, PG",MIA/PHX,78.0,33.8,1.76,-2.1,-0.34,3.36,2015,Goran Dragic, PG
168.0,"Avery Bradley, PG",BOS,77.0,31.5,-1.07,0.73,-0.34,3.13,2015,Avery Bradley, PG
175.0,"Shaun Livingston, PG",GS,78.0,18.8,-1.27,0.83,-0.44,1.77,2015,Shaun Livingston, PG
176.0,"Jae Crowder, SF",BOS/DAL,82.0,20.1,0.63,-1.07,-0.44,1.99,2015,Jae Crowder, SF
177.0,"Josh Smith, C",DET/HOU,83.0,27.7,-1.84,1.39,-0.45,2.8,2015,Josh Smith, C
183.0,"Tony Snell, SF",CHI,72.0,19.6,-0.29,-0.3,-0.59,1.53,2015,Tony Snell, SF
184.0,"Dewayne Dedmon, C",ORL,59.0,14.3,-2.79,2.2,-0.59,0.92,2015,Dewayne Dedmon, C
185.0,"Brook Lopez, C",BKN,72.0,29.2,-0.76,0.16,-0.6,2.22,2015,Brook Lopez, C
186.0,"Matthew Dellavedova, PG",CLE,67.0,20.6,-0.52,-0.08,-0.6,1.44,2015,Matthew Dellavedova, PG
187.0,"Richard Jefferson, SF",DAL,74.0,16.8,-0.45,-0.16,-0.61,1.38,2015,Richard Jefferson, SF
188.0,"Mason Plumlee, C",BKN,82.0,21.3,-0.32,-0.29,-0.61,1.82,2015,Mason Plumlee, C
189.0,"P.J. Tucker, SF",PHX,78.0,30.6,-1.22,0.6,-0.62,2.6,2015,P.J. Tucker, SF
190.0,"Jonas Valanciunas, C",TOR,80.0,26.2,-1.71,1.03,-0.68,2.17,2015,Jonas Valanciunas, C
191.0,"Mo Williams, PG",MIN/CHA,68.0,29.1,1.02,-1.74,-0.72,2.02,2015,Mo Williams, PG
192.0,"Pablo Prigioni, PG",HOU/NY,67.0,17.9,-0.42,-0.3,-0.72,1.2,2015,Pablo Prigioni, PG
