AST%_advanced,Age,BLK%_advanced,BPM_advanced,DBPM_advanced,DRB%_advanced,DWS_advanced,G_advanced,MP_advanced,OBPM_advanced,ORB%_advanced,OWS_advanced,PER_advanced,Player,Pos,Rk_advanced,STL%_advanced,TRB%_advanced,Tm,USG%_advanced,VORP_advanced,WS/48_advanced,WS_advanced,type,year
1.1,21,6.3,-2.5,2.2,27.6,2.1,77,1072,-4.7,11,1.1,13.3,Bismack Biyombo,C,49,0.3,19.3,CHA,9.6,-0.1,0.144,3.2,advanced,2014
8.9,24,1.4,0.6,0.8,21.6,1.5,78,1214,-0.2,13.3,1.8,17.3,DeJuan Blair,PF,50,2.5,17.5,DAL,19.6,0.8,0.133,3.4,advanced,2014
28.8,33,0.4,-1.6,-0.7,10.4,1.1,55,1498,-0.9,0.9,0.7,11,Steve Blake,PG,51,1.8,5.7,TOT,13.8,0.2,0.058,1.8,advanced,2014
12.8,27,2,0.1,0.7,19.9,2.1,73,1618,-0.6,8.9,1.6,18.8,Andray Blatche,PF,52,2.4,14.4,BRK,25.6,0.8,0.109,3.7,advanced,2014
27,24,0.8,2.9,0.6,13.8,1.6,43,1416,2.3,2.1,2.6,19.6,Eric Bledsoe,PG,53,2.4,8,PHO,24.9,1.8,0.14,4.1,advanced,2014
10.7,21,0,-13.9,-3.1,23.4,0,3,15,-10.9,0,-0.1,0.5,Vander Blue,SG,54,0,11.4,BOS,24.3,0,-0.214,-0.1,advanced,2014
7.7,33,0,-2.1,-2.2,6.4,0,6,55,0.1,0,0.1,9.9,Keith Bogans,SG,55,0.9,3.1,BOS,6.7,0,0.121,0.1,advanced,2014
9.3,29,5.2,4.4,5.6,29.7,4,67,1769,-1.2,11.4,2.4,17,Andrew Bogut,C,56,1.3,20.7,GSW,12.4,2.8,0.176,6.5,advanced,2014
6.1,33,1.2,0.3,0.7,17.9,1,61,690,-0.4,2.7,0.8,11.2,Matt Bonner,PF,57,1.1,10.6,SAS,12.1,0.4,0.123,1.8,advanced,2014
6.3,26,2.4,0.2,1.3,17.5,2,72,1553,-1.1,10.9,2.3,15,Trevor Booker,PF,58,1.4,14.1,WAS,14.4,0.8,0.132,4.3,advanced,2014
10.9,32,0.8,-3.4,0.6,25.9,4.3,76,2141,-4,7.4,-0.9,14.4,Carlos Boozer,PF,59,1.3,16.8,CHI,26.3,-0.7,0.076,3.4,advanced,2014
5.8,29,2.7,0.5,0,20.3,3.4,79,2531,0.5,5.1,4.6,19,Chris Bosh,C,60,1.7,13,MIA,22.6,1.6,0.152,8,advanced,2014
8.1,23,0.5,-2.5,-1.4,11.2,1.4,60,1855,-1.1,2.9,0.4,12.7,Avery Bradley,PG,61,1.7,6.9,BOS,23.2,-0.2,0.046,1.8,advanced,2014
8.1,34,4.9,0.5,3.1,21.5,2.1,73,1414,-2.7,8,1.4,14,Elton Brand,C,62,1.4,14.8,ATL,13.9,0.9,0.121,3.6,advanced,2014
7.9,27,0.9,1.7,1.3,6.2,2.7,81,2609,0.4,2.6,2.4,12.7,Corey Brewer,SF,63,2.9,4.3,MIN,16.5,2.4,0.095,5.2,advanced,2014
8.1,28,0.5,-3.4,1.2,7.9,0.1,24,160,-4.6,1.5,-0.1,3.4,Ronnie Brewer,SF,64,1.9,4.9,TOT,4.9,-0.1,0.004,0,advanced,2014
23.3,29,0.6,-1.5,-1.9,6.7,0.9,72,1557,0.4,3.1,1.3,12.5,Aaron Brooks,PG,65,1.6,4.9,TOT,20.5,0.2,0.067,2.2,advanced,2014
12.9,25,0.9,-3.7,-1.6,15.5,0.3,35,316,-2.1,3.4,0.1,15.5,MarShon Brooks,SG,66,2.2,9.3,TOT,23.4,-0.1,0.06,0.4,advanced,2014
27.5,23,1.1,-6.8,-1.8,10,0.2,26,224,-5,3.7,-0.5,8.2,Lorenzo Brown,PG,67,2.8,6.8,PHI,20.4,-0.3,-0.068,-0.3,advanced,2014
5,28,0,-7,-0.3,9.5,0.3,29,251,-6.8,3.2,-0.5,4.7,Shannon Brown,SG,68,2.7,6.4,TOT,17.1,-0.3,-0.05,-0.3,advanced,2014
34.6,35,0.4,-5.9,-1.3,14.5,0.1,6,177,-4.7,1.2,-0.5,10.7,Kobe Bryant,SG,69,1.9,7.8,LAL,28.7,-0.2,-0.097,-0.4,advanced,2014
6.2,25,0.2,-2.6,-1.3,12.5,0.6,41,751,-1.3,2.7,0.3,9.7,Chase Budinger,SF,70,1.2,7.5,MIN,16.7,-0.1,0.059,0.9,advanced,2014
4.3,22,0.2,-4.7,-1.8,11.7,0.3,43,395,-2.9,3.2,-0.2,6.7,Reggie Bullock,SF,71,1.1,7.6,LAC,15.4,-0.3,0.019,0.2,advanced,2014
29.4,21,0.2,-2.5,-3,9,0,70,2262,0.5,1.8,1,12.6,Trey Burke,PG,72,1,5.3,UTA,21.8,-0.3,0.02,0.9,advanced,2014
16.9,22,0.5,-1.2,-1.7,10.7,0.6,78,2193,0.5,3,2.6,15.8,Alec Burks,SG,73,1.7,6.8,UTA,23.9,0.5,0.07,3.2,advanced,2014
9.6,33,1,-2.1,-1.4,16.8,1.2,56,1419,-0.7,1.7,0.6,12.2,Caron Butler,SF,74,1.7,9.2,TOT,20.1,0,0.062,1.8,advanced,2014
11.1,24,1.1,2.4,2.4,10.5,4.6,67,2591,0,3.9,2.4,13.5,Jimmy Butler,SG,75,2.6,7.2,CHI,16.8,2.9,0.131,7.1,advanced,2014
7.4,34,1.8,-0.9,-0.3,9.9,0.6,50,378,-0.6,1.9,0.5,12.2,Rasual Butler,SG,76,1,6.1,IND,15.4,0.1,0.138,1.1,advanced,2014
10.6,24,0,-4.5,0.2,15.2,0.2,14,146,-4.8,3.2,-0.2,7.2,Dwight Buycks,PG,77,2.9,9.2,TOR,19.3,-0.1,-0.009,0,advanced,2014
9.7,26,4.7,-3.4,0.6,20.3,0.6,26,516,-4.1,11.4,-0.2,15.2,Andrew Bynum,C,78,0.6,15.8,TOT,24.3,-0.2,0.038,0.4,advanced,2014
32.5,31,0.5,-3.5,-2.8,8.2,0.4,56,1054,-0.7,2.4,0.6,14.4,Will Bynum,PG,79,1.9,5.1,DET,23.8,-0.4,0.047,1,advanced,2014
26.5,24,0.6,-1.1,0.8,11.5,1.6,71,1173,-1.9,2.3,-0.1,12.3,Nick Calathes,SG,80,3,6.9,MEM,17.5,0.3,0.062,1.5,advanced,2014
22.4,32,0.4,1.3,-2,7.6,0.8,81,2468,3.3,1.4,5.4,15.2,Jose Calderon,PG,81,1.4,4.5,DAL,16.2,2.1,0.122,6.3,advanced,2014
5,20,0.6,-2.1,-0.8,8.6,0.8,80,1583,-1.2,2.5,1,9.4,Kentavious Caldwell-Pope,SG,82,2.4,5.4,DET,13.9,0,0.055,1.8,advanced,2014
13.2,22,1.2,-3.4,-2,7.1,0.2,22,252,-1.4,3.3,0,9.5,Isaiah Canaan,PG,83,1.6,5.3,HOU,21,-0.1,0.031,0.2,advanced,2014
8.9,27,0.7,2.1,1.1,14.5,2.6,73,2341,1,5.3,3.2,13.9,DeMarre Carroll,SF,84,2.3,10,ATL,15.2,2.4,0.119,5.8,advanced,2014
16.5,37,1.5,1.1,-1,12.6,1.3,81,1973,2.2,4,3,15.9,Vince Carter,SG,85,1.6,8.3,DAL,23.1,1.6,0.105,4.3,advanced,2014
30.2,22,1.4,-0.2,0.4,15.6,2.1,70,2414,-0.6,4.3,-0.8,15.5,Michael Carter-Williams,PG,86,2.6,9.8,PHI,25.7,1.1,0.026,1.3,advanced,2014
10.5,25,0.8,-0.8,-0.2,16.8,1.4,71,1283,-0.6,5.1,1,12.9,Omri Casspi,PF,87,1.7,11.3,HOU,18.3,0.4,0.091,2.4,advanced,2014
24.3,27,0.6,1.2,0.2,9.6,2.5,73,2178,1,2.5,2.4,14,Mario Chalmers,PG,88,2.9,6.2,MIA,17.4,1.7,0.106,4.8,advanced,2014
5.5,31,3.4,1.3,1.8,27,1.9,55,1662,-0.6,10.9,3.1,16.4,Tyson Chandler,C,89,1.2,18.7,NYK,12.9,1.4,0.143,4.9,advanced,2014
9.3,26,1.2,0.2,-0.6,13.3,1.2,62,1927,0.7,3.2,1.8,12.4,Wilson Chandler,SF,90,1.2,8.2,DEN,19.5,1.1,0.076,3.1,advanced,2014
10.7,30,0,-4.3,2,14.7,0,4,24,-6.2,0,0,3.9,Josh Childress,SF,91,2.2,7.3,NOP,1.9,0,-0.003,0,advanced,2014
5.8,27,1.1,-3.6,-2.5,14.1,0.1,31,198,-1.1,7.4,0.2,11.1,Dionte Christmas,SF,92,0.5,10.8,PHO,17.4,-0.1,0.083,0.3,advanced,2014
3.7,26,2.8,-4.8,-0.9,18.2,0.8,54,768,-3.9,3.2,-0.4,9.1,Earl Clark,PF,93,1.1,10.5,TOT,17.9,-0.5,0.02,0.3,advanced,2014
14.7,22,0.9,-4.7,-2.1,11.1,0.1,23,172,-2.6,1.9,-0.2,9.2,Ian Clark,SG,94,2.4,6.4,UTA,22.4,-0.1,-0.025,-0.1,advanced,2014
9.1,25,1.1,-3,0,17.4,0.2,21,184,-3,5.3,0,8.8,Victor Claver,SF,95,0.8,11.4,POR,13.7,0,0.047,0.2,advanced,2014
17.9,25,0.2,-3,-0.8,8.6,1.7,82,2014,-2.2,1.1,-0.5,8.8,Norris Cole,PG,96,2,5,MIA,15.6,-0.5,0.029,1.2,advanced,2014
3.5,35,0.5,-3.6,0.5,8.3,0.1,22,172,-4.1,4.9,-0.1,4.1,Jason Collins,C,97,2.4,6.6,BRK,8.9,-0.1,0.017,0.1,advanced,2014
21.9,26,0.6,1,-0.4,7.3,2,80,2069,1.4,2.6,3.8,16.2,Darren Collison,PG,98,2.2,5,LAC,19.7,1.6,0.136,5.9,advanced,2014
10.9,33,1.7,0.6,1.1,14.1,1.6,81,1353,-0.5,10.2,2,11.8,Nick Collison,PF,99,1.1,12.2,OKC,11.6,0.9,0.128,3.6,advanced,2014
30.1,26,0.4,3.4,-0.7,8.4,2.7,73,2446,4.1,2,5.5,20,Mike Conley,PG,100,2.4,5.2,MEM,24.6,3.3,0.161,8.2,advanced,2014
12.6,29,2,1.4,-2.1,10.1,0.4,41,265,3.5,3.1,0.6,17.6,Chris Copeland,SF,101,0.6,6.8,IND,23.7,0.2,0.186,1,advanced,2014
17.8,23,3.2,4.7,2.9,30.5,3.8,71,2298,1.9,10.6,4.1,26.1,DeMarcus Cousins,C,102,2.4,20.4,SAC,32.7,3.9,0.166,7.9,advanced,2014
0,23,0,-3.6,-4.9,9.3,0,7,34,1.3,6.9,0.1,15,Robert Covington,SF,103,2.9,8.2,HOU,19.3,0,0.122,0.1,advanced,2014
8.7,21,0.7,-4.7,-2.1,8.5,0.1,15,100,-2.7,1.1,0,7.7,Allen Crabbe,SG,104,1,4.8,POR,16.5,-0.1,0.037,0.1,advanced,2014
17.4,33,0.4,0.2,-2.6,6.4,1.5,69,2094,2.7,1.9,3.8,17.3,Jamal Crawford,SG,105,1.4,4.2,LAC,27.2,1.2,0.122,5.3,advanced,2014
25.1,25,0.2,-1.8,-2.2,9.5,1.4,81,1859,0.4,1.7,1.5,14.3,Jordan Crawford,SG,106,1.3,5.5,TOT,23.7,0.1,0.073,2.8,advanced,2014
6.7,23,1.4,0.6,0.6,13.5,1.1,78,1254,0,4.3,1.2,11.9,Jae Crowder,SF,107,2.4,8.9,DAL,13.2,0.8,0.089,2.3,advanced,2014
7.7,26,2.7,-0.1,2.1,14.9,2,81,1635,-2.2,7.3,0.9,12.6,Dante Cunningham,PF,108,1.9,11,MIN,15.1,0.8,0.085,2.9,advanced,2014
14.4,22,0,-5.1,-2.7,7.2,0,13,80,-2.4,1.4,0.1,8.5,Jared Cunningham,SG,109,1.9,4.3,TOT,16.6,-0.1,0.075,0.1,advanced,2014
0,23,0,1.1,3.5,8.8,0,2,13,-2.4,0,0,13.8,Seth Curry,PG,110,7.9,4.3,TOT,10.3,0,0.131,0,advanced,2014
39.9,25,0.4,7.4,0,10.9,4,78,2846,7.4,1.8,9.3,24.1,Stephen Curry,PG,111,2.2,6.4,GSW,28.3,6.7,0.225,13.4,advanced,2014
3.4,32,4.8,0.6,1.5,24.2,2.1,80,1614,-0.9,14.4,2.9,16.8,Samuel Dalembert,C,112,1.3,19.4,DAL,14.8,1.1,0.147,4.9,advanced,2014
11.4,22,0,-1.2,-5.5,5.6,0,5,75,4.3,0,0.2,16,Troy Daniels,SG,113,0,3,HOU,19.9,0,0.15,0.2,advanced,2014
