pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,9/29/17,93.1,2.0695,5.8327,Marco Gonzales,405395,594835,single,hit_into_play_no_out,,,,,7,Albert Pujols singles on a line drive to right fielder Taylor Motter.   Justin Upton to 3rd.  ,R,R,L,LAA,SEA,X,9,line_drive,1,1,2017,0.7819,1.329,-0.5218,1.7763,null,null,457708,1,1,Bot,152.19,77.41,,,572287,,null,-8.2754,-134.9951,-7.4546,11.2135,27.7854,-14.6904,3.1682,1.3821,296,85,22.8,92.641,2157,6.081,492497,594835,572287,502143,429664,572122,516416,592325,571745,600301,54.4166,0.23,0.255,0.9,1,1,0,3,8,3,Sinker,1,0,1,0,0,1,1,0,Standard,Standard
SI,9/23/17,93.1,2.2776,5.6022,Marco Gonzales,457706,594835,null,ball,,,,,12,null,R,R,L,SEA,CLE,B,null,null,0,0,2017,0.9581,1.5877,1.2134,2.9882,null,null,null,2,5,Top,null,null,,,572287,,null,-4.7931,-135.2054,-4.3439,12.7482,30.284,-12.0813,3.4584,1.7219,null,null,null,92.709,2208,6.218,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.2807,null,null,null,null,null,null,null,37,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
SI,9/29/17,93.1,2.2111,5.7764,Marco Gonzales,457708,594835,null,ball,,,,,14,null,R,R,L,LAA,SEA,B,null,null,1,1,2017,1.3125,1.0405,0.4578,1.0849,null,null,null,1,1,Bot,null,null,,,572287,,null,-7.3386,-135.0245,-8.5298,17.6043,26.9721,-17.8743,3.5941,1.7204,null,null,null,93.17,2272,6.322,492497,594835,572287,502143,429664,572122,516416,592325,571745,600301,54.1755,null,null,null,null,null,null,null,7,3,Sinker,1,0,1,0,0,1,1,0,Standard,Standard
SI,8/11/17,93,2.2615,5.5191,Marco Gonzales,460060,594835,null,called_strike,,,,,6,null,R,R,L,SEA,LAA,S,null,null,0,0,2017,1.2656,1.2955,0.5778,2.4751,null,null,null,1,3,Top,null,null,,,572287,,null,-7.0016,-134.9039,-4.7508,16.861,30.3709,-15.6943,3.3038,1.5747,null,null,null,92.285,2318,6.106,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.393,null,null,null,null,null,null,null,16,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
SI,9/17/17,93,1.9893,5.832,Marco Gonzales,435263,594835,field_out,hit_into_play,,,,,3,"Brian McCann grounds out, second baseman Robinson Cano to first baseman Yonder Alonso.  ",R,L,L,HOU,SEA,X,4,ground_ball,2,2,2017,0.6999,1.2259,0.6393,3.1628,null,null,null,1,8,Bot,148.66,147.21,,,572287,,null,-4.9966,-135.0777,-3.7281,9.6919,30.025,-16.5296,3.1553,1.4675,37,80.8,-1.5,92.999,2108,6.439,492337,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.0704,0.223,0.192,0,1,0,0,2,60,5,Sinker,7,1,7,1,1,7,7,1,Infield shift,Standard
SI,9/29/17,93,2.1953,5.6433,Marco Gonzales,594777,594835,null,blocked_ball,,,,,13,null,R,L,L,LAA,SEA,B,null,null,2,1,2017,0.867,1.2445,-0.8229,0.5517,null,592743,543068,0,4,Bot,null,null,,,572287,,null,-9.5574,-134.5486,-9.8582,12.5658,29.1633,-15.1934,3.2254,1.5698,7,57.7,-46,92.41,2305,6.246,492497,594835,572287,502143,429664,572122,516416,592325,571745,600301,54.2513,null,null,null,null,null,null,null,33,4,Sinker,1,2,1,2,2,1,1,2,Standard,Standard
SI,8/11/17,93,2.1841,5.6252,Marco Gonzales,592743,594835,null,foul,,,,,3,null,R,R,L,SEA,LAA,S,null,null,1,0,2017,1.3084,1.3799,0.5625,3.449,null,null,545361,2,4,Top,null,null,,,572287,,null,-6.9527,-134.7753,-2.6817,17.4073,32.5621,-15.1856,3.4293,1.5,null,null,null,92.053,2189,6.194,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.3049,null,null,null,null,null,null,null,25,2,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
SI,9/23/17,93,2.1046,5.6529,Marco Gonzales,457706,594835,null,called_strike,,,,,1,null,R,R,L,SEA,CLE,S,null,null,1,1,2017,0.8323,1.8026,-0.7612,2.8957,null,null,null,2,5,Top,null,null,,,572287,,null,-9.2118,-134.9048,-5.2635,12.2492,28.7896,-8.9737,3.4355,1.6304,null,null,null,93.401,2310,6.646,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,53.8526,null,null,null,null,null,null,null,37,3,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
SI,9/23/17,93,2.4829,5.5316,Marco Gonzales,570481,594835,null,ball,,,,,12,null,R,R,L,SEA,CLE,B,null,null,0,0,2017,1.2388,1.3287,0.8582,3.5198,null,null,null,0,5,Top,null,null,,,572287,,null,-6.8564,-134.9658,-2.2559,16.6446,29.3203,-15.6423,3.6468,1.7951,null,null,null,92.913,2374,6.373,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.1262,null,null,null,null,null,null,null,35,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
SI,8/11/17,93,2.6409,5.5023,Marco Gonzales,405395,594835,null,called_strike,,,,,14,null,R,R,L,SEA,LAA,S,null,null,0,0,2017,1.2451,1.3304,0.8438,2.2686,null,null,null,2,1,Top,null,null,,,572287,,null,-7.3241,-134.8964,-5.3885,16.8427,29.5302,-14.9229,3.4229,1.5729,null,null,null,92.938,2186,6.434,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.0644,null,null,null,null,null,null,null,3,1,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard
SI,9/2/17,92.9,2.0744,5.6489,Marco Gonzales,622194,594835,field_out,hit_into_play,,,,,12,Bruce Maxwell pops out to catcher Mike Zunino in foul territory.  ,R,L,L,SEA,OAK,X,2,popup,1,1,2017,1.1468,1.4573,0.9629,3.1166,null,640461,null,1,5,Top,98.42,199.08,,,572287,,null,-5.2797,-134.7898,-3.7488,14.9998,31.797,-14.0585,3.4294,1.4497,null,80,69,91.95,2101,6.065,492127,594835,572287,475174,429664,572122,516416,592325,502481,571745,54.4338,0,0,0,1,0,0,3,45,3,Sinker,2,6,6,2,6,2,6,2,Strategic,Standard
SI,9/12/17,92.9,2.3888,5.7531,Marco Gonzales,462101,594835,field_out,hit_into_play,,,,,5,"Elvis Andrus grounds out, shortstop Jean Segura to first baseman Yonder Alonso.  ",R,R,L,TEX,SEA,X,6,ground_ball,0,0,2017,1.0206,1.1266,0.1619,2.0862,null,null,null,2,1,Bot,102.99,150.77,,,572287,,null,-7.9125,-134.8446,-6.0571,14.1316,27.9368,-17.3341,3.1345,1.3063,12,105.6,-9.9,92.949,2310,6.342,492268,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.1549,0.381,0.344,0,1,0,0,2,6,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
SI,9/29/17,92.9,2.1599,5.8134,Marco Gonzales,457708,594835,walk,ball,,,,,14,Justin Upton walks.  ,R,R,L,LAA,SEA,B,null,null,3,1,2017,1.2344,1.2194,0.9681,1.9038,null,null,null,1,1,Bot,null,null,,,572287,,null,-5.7146,-134.8467,-6.8681,16.2577,27.7298,-16.0694,3.6148,1.7618,null,null,null,92.865,2262,6.276,492497,594835,572287,502143,429664,572122,516416,592325,571745,600301,54.2216,null,null,0.7,1,0,0,null,7,5,Sinker,1,0,1,0,0,1,1,0,Standard,Standard
SI,8/11/17,92.9,2.6108,5.4931,Marco Gonzales,457727,594835,null,ball,,,,,12,null,R,R,L,SEA,LAA,B,null,null,0,0,2017,1.2581,1.1617,1.2408,3.3803,null,null,null,0,1,Top,null,null,,,572287,,null,-6.1734,-134.9133,-2.0995,16.5487,29.6144,-17.9161,3.9271,1.6664,null,null,null,92.289,2242,6.046,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.4529,null,null,null,null,null,null,null,1,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
SI,8/28/17,92.9,2.3228,5.8445,Marco Gonzales,430945,594835,null,foul,,,,,9,null,R,R,L,BAL,SEA,S,null,null,3,2,2017,1.47,1.2218,0.3567,2.1375,null,null,null,0,2,Bot,null,null,,,572287,,null,-8.1084,-134.7384,-6.2918,19.392,26.8399,-16.3596,3.5327,1.5635,251,84.4,20.1,92.376,2188,5.969,492061,594835,572287,475174,429664,572122,516416,592325,628338,502143,54.532,null,null,null,null,null,null,null,11,6,Sinker,0,1,0,1,1,0,0,1,Standard,Standard
