Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Elden Campbell,11:00,0,2,.000,0,0,,1,2,.500,0,0,0,1,0,1,2,4,1,away,/boxscores/199911190ORL.html
Bobby Phills,36:00,11,23,.478,4,8,.500,1,1,1.000,0,2,2,3,2,0,4,3,27,away,/boxscores/199911190ORL.html
Baron Davis,23:00,1,4,.250,0,0,,1,2,.500,2,2,4,2,2,0,2,2,3,away,/boxscores/199911190ORL.html
Todd Fuller,20:00,4,7,.571,0,0,,1,2,.500,3,3,6,2,2,1,1,1,9,away,/boxscores/199911190ORL.html
Team Totals,240,41,86,.477,10,21,.476,11,21,.524,12,34,46,28,11,5,21,25,103,away,/boxscores/199911190ORL.html
Darrell Armstrong,35:00,5,15,.333,2,6,.333,6,6,1.000,2,3,5,10,4,0,4,1,18,home,/boxscores/199911190ORL.html
Monty Williams,23:00,7,10,.700,0,0,,0,0,,0,4,4,1,0,0,1,4,14,home,/boxscores/199911190ORL.html
Ben Wallace,22:00,1,2,.500,0,0,,0,0,,2,4,6,0,1,1,0,3,2,home,/boxscores/199911190ORL.html
Tariq Abdul-Wahad,20:00,5,9,.556,0,0,,2,2,1.000,1,4,5,0,0,0,3,3,12,home,/boxscores/199911190ORL.html
Michael Doleac,5:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,4,0,home,/boxscores/199911190ORL.html
Bo Outlaw,35:00,2,5,.400,0,0,,0,2,.000,1,6,7,3,4,5,1,1,4,home,/boxscores/199911190ORL.html
Corey Maggette,21:00,3,7,.429,0,0,,5,12,.417,2,3,5,0,0,0,4,5,11,home,/boxscores/199911190ORL.html
Chucky Atkins,20:00,4,11,.364,1,5,.200,0,0,,0,1,1,4,1,0,4,2,9,home,/boxscores/199911190ORL.html
John Amaechi,20:00,3,8,.375,0,1,.000,2,2,1.000,1,3,4,2,0,0,2,0,8,home,/boxscores/199911190ORL.html
Pat Garrity,18:00,4,8,.500,0,2,.000,0,0,,0,3,3,0,0,0,0,1,8,home,/boxscores/199911190ORL.html
Chris Gatling,13:00,0,4,.000,0,0,,0,0,,1,3,4,1,0,0,2,1,0,home,/boxscores/199911190ORL.html
Earl Boykins,8:00,3,4,.750,0,0,,0,0,,1,0,1,3,0,0,0,0,6,home,/boxscores/199911190ORL.html
Team Totals,240,37,84,.440,3,14,.214,15,24,.625,11,36,47,24,10,6,21,25,92,home,/boxscores/199911190ORL.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Steve Smith,41:00,6,12,.500,0,1,.000,0,0,,1,2,3,4,1,0,0,4,12,away,/boxscores/199911200CHH.html
Rasheed Wallace,38:00,8,16,.500,0,0,,1,2,.500,0,4,4,2,1,2,1,3,17,away,/boxscores/199911200CHH.html
Scottie Pippen,32:00,3,11,.273,0,2,.000,0,0,,2,5,7,4,0,0,3,3,6,away,/boxscores/199911200CHH.html
Arvydas Sabonis,31:00,4,11,.364,1,2,.500,0,0,,1,7,8,4,0,4,1,6,9,away,/boxscores/199911200CHH.html
Damon Stoudamire,29:00,3,11,.273,0,3,.000,0,0,,0,1,1,8,1,0,2,3,6,away,/boxscores/199911200CHH.html
Detlef Schrempf,34:00,5,11,.455,0,1,.000,2,2,1.000,1,6,7,4,0,0,2,5,12,away,/boxscores/199911200CHH.html
Greg Anthony,24:00,4,7,.571,2,4,.500,14,15,.933,1,0,1,6,1,0,2,1,24,away,/boxscores/199911200CHH.html
Brian Grant,21:00,5,7,.714,0,0,,2,2,1.000,1,6,7,1,1,0,2,6,12,away,/boxscores/199911200CHH.html
Jermaine O'Neal,10:00,1,4,.250,0,0,,0,1,.000,1,2,3,0,0,1,0,2,2,away,/boxscores/199911200CHH.html
