Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
David Wesley,31:00,5,13,.385,0,1,.000,1,4,.250,1,1,2,9,1,0,4,2,11,home,/boxscores/200004040CHH.html
Eddie Robinson,18:00,6,7,.857,0,0,,0,0,,0,3,3,1,0,0,2,1,12,home,/boxscores/200004040CHH.html
Baron Davis,18:00,2,6,.333,0,0,,2,4,.500,0,1,1,2,0,0,1,1,6,home,/boxscores/200004040CHH.html
Chucky Brown,6:00,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,0,0,0,home,/boxscores/200004040CHH.html
Todd Fuller,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,home,/boxscores/200004040CHH.html
Team Totals,240,37,65,.569,4,7,.571,34,45,.756,5,35,40,29,9,10,22,22,112,home,/boxscores/200004040CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Anthony Mason,47:00,5,10,.500,0,0,,4,6,.667,6,9,15,1,2,0,1,1,14,away,/boxscores/200004060MIA.html
Eddie Jones,45:00,2,15,.133,0,6,.000,8,9,.889,1,4,5,2,4,0,2,2,12,away,/boxscores/200004060MIA.html
Derrick Coleman,40:00,3,18,.167,1,2,.500,1,4,.250,3,7,10,3,2,1,3,4,8,away,/boxscores/200004060MIA.html
David Wesley,38:00,5,16,.313,1,5,.200,1,2,.500,1,2,3,3,2,0,0,4,12,away,/boxscores/200004060MIA.html
Elden Campbell,36:00,4,12,.333,0,0,,0,0,,2,2,4,1,0,1,1,3,8,away,/boxscores/200004060MIA.html
Baron Davis,19:00,2,5,.400,0,2,.000,2,2,1.000,1,2,3,2,3,1,1,2,6,away,/boxscores/200004060MIA.html
Eddie Robinson,15:00,4,5,.800,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,10,away,/boxscores/200004060MIA.html
Team Totals,240,25,81,.309,2,15,.133,18,25,.720,14,27,41,12,13,3,8,16,70,away,/boxscores/200004060MIA.html
Alonzo Mourning,40:00,12,21,.571,0,0,,2,4,.500,5,12,17,1,2,6,2,2,26,home,/boxscores/200004060MIA.html
Jamal Mashburn,34:00,3,9,.333,1,2,.500,2,2,1.000,0,7,7,2,0,0,3,2,9,home,/boxscores/200004060MIA.html
Tim Hardaway,34:00,2,10,.200,1,4,.250,1,2,.500,0,1,1,6,1,1,6,3,6,home,/boxscores/200004060MIA.html
Dan Majerle,32:00,5,7,.714,2,3,.667,0,0,,0,0,0,4,0,0,1,4,12,home,/boxscores/200004060MIA.html
P.J. Brown,29:00,1,4,.250,0,0,,1,2,.500,0,6,6,3,1,1,0,3,3,home,/boxscores/200004060MIA.html
Bruce Bowen,21:00,3,6,.500,3,4,.750,0,0,,2,0,2,0,0,1,0,2,9,home,/boxscores/200004060MIA.html
Otis Thorpe,20:00,2,8,.250,0,1,.000,0,0,,5,4,9,2,0,1,1,0,4,home,/boxscores/200004060MIA.html
Clarence Weatherspoon,16:00,2,3,.667,0,0,,1,1,1.000,0,4,4,1,0,0,3,4,5,home,/boxscores/200004060MIA.html
Anthony Carter,14:00,1,6,.167,0,0,,0,0,,1,3,4,3,0,0,1,2,2,home,/boxscores/200004060MIA.html
Team Totals,240,31,74,.419,7,14,.500,7,11,.636,13,37,50,22,4,10,17,22,76,home,/boxscores/200004060MIA.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Lindsey Hunter,33:00,4,11,.364,1,4,.250,3,5,.600,0,1,1,1,2,0,3,2,12,away,/boxscores/200004070CHH.html
Jerry Stackhouse,29:00,7,16,.438,6,8,.750,3,4,.750,0,1,1,7,1,1,5,5,23,away,/boxscores/200004070CHH.html
Grant Hill,29:00,5,11,.455,0,1,.000,3,3,1.000,2,5,7,5,2,0,3,3,13,away,/boxscores/200004070CHH.html
Terry Mills,23:00,3,6,.500,1,4,.250,0,0,,1,9,10,0,0,1,0,2,7,away,/boxscores/200004070CHH.html
Christian Laettner,23:00,3,7,.429,0,0,,0,0,,2,6,8,1,2,0,0,3,6,away,/boxscores/200004070CHH.html
Jerome Williams,26:00,2,4,.500,0,0,,1,3,.333,1,10,11,2,1,0,2,3,5,away,/boxscores/200004070CHH.html
John Crotty,24:00,5,8,.625,2,4,.500,2,2,1.000,0,0,0,5,1,0,1,3,14,away,/boxscores/200004070CHH.html
Michael Curry,18:00,2,4,.500,0,0,,0,0,,0,1,1,1,0,0,1,1,4,away,/boxscores/200004070CHH.html
Mikki Moore,14:00,2,5,.400,0,0,,4,4,1.000,3,2,5,0,0,1,1,1,8,away,/boxscores/200004070CHH.html
Jud Buechler,13:00,1,5,.200,1,4,.250,0,0,,1,0,1,1,1,0,0,0,3,away,/boxscores/200004070CHH.html
Loy Vaught,4:00,1,4,.250,0,0,,0,0,,1,1,2,0,1,0,0,1,2,away,/boxscores/200004070CHH.html
Eric Montross,4:00,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,1,0,away,/boxscores/200004070CHH.html
Team Totals,240,35,82,.427,11,25,.440,16,21,.762,12,36,48,24,11,3,17,25,97,away,/boxscores/200004070CHH.html
Anthony Mason,35:00,2,5,.400,0,0,,5,6,.833,2,8,10,2,2,0,1,3,9,home,/boxscores/200004070CHH.html
Eddie Jones,27:00,2,8,.250,1,4,.250,1,2,.500,1,5,6,0,2,1,2,2,6,home,/boxscores/200004070CHH.html
Derrick Coleman,24:00,4,10,.400,1,2,.500,1,2,.500,3,7,10,5,0,0,3,2,10,home,/boxscores/200004070CHH.html
David Wesley,24:00,2,13,.154,0,3,.000,0,0,,0,0,0,3,0,0,0,3,4,home,/boxscores/200004070CHH.html
Elden Campbell,18:00,2,4,.500,0,0,,0,2,.000,0,2,2,2,0,1,1,1,4,home,/boxscores/200004070CHH.html
Baron Davis,30:00,4,8,.500,1,3,.333,5,8,.625,0,0,0,4,4,0,4,5,14,home,/boxscores/200004070CHH.html
Chucky Brown,23:00,5,7,.714,0,0,,0,2,.000,2,5,7,1,2,1,3,3,10,home,/boxscores/200004070CHH.html
Todd Fuller,23:00,2,8,.250,0,0,,4,5,.800,4,4,8,0,0,0,0,1,8,home,/boxscores/200004070CHH.html
Ricky Davis,12:00,2,5,.400,0,0,,3,5,.600,1,1,2,2,1,0,1,0,7,home,/boxscores/200004070CHH.html
Eddie Robinson,12:00,3,7,.429,0,0,,0,0,,2,0,2,1,2,0,2,0,6,home,/boxscores/200004070CHH.html
Eldridge Recasner,12:00,2,4,.500,0,2,.000,0,0,,0,1,1,2,0,0,0,0,4,home,/boxscores/200004070CHH.html
Team Totals,240,30,79,.380,3,14,.214,19,32,.594,15,33,48,22,13,3,17,20,82,home,/boxscores/200004070CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Jalen Rose,43:00,9,21,.429,0,2,.000,0,2,.000,0,3,3,6,0,0,3,4,18,away,/boxscores/200004090CHH.html
Dale Davis,36:00,6,10,.600,0,0,,0,0,,4,10,14,0,3,1,2,3,12,away,/boxscores/200004090CHH.html
Reggie Miller,35:00,3,11,.273,2,4,.500,3,3,1.000,0,4,4,3,0,0,1,4,11,away,/boxscores/200004090CHH.html
Mark Jackson,26:00,1,4,.250,0,1,.000,0,0,,0,3,3,8,0,0,2,0,2,away,/boxscores/200004090CHH.html
Rik Smits,22:00,4,11,.364,0,0,,1,1,1.000,0,2,2,1,0,1,0,5,9,away,/boxscores/200004090CHH.html
Austin Croshere,20:00,2,8,.250,1,2,.500,6,6,1.000,4,6,10,1,0,0,1,2,11,away,/boxscores/200004090CHH.html
Travis Best,19:00,2,8,.250,1,1,1.000,0,0,,0,1,1,3,0,0,2,1,5,away,/boxscores/200004090CHH.html
Sam Perkins,19:00,1,4,.250,0,0,,2,2,1.000,1,2,3,0,0,1,0,2,4,away,/boxscores/200004090CHH.html
Chris Mullin,18:00,3,5,.600,2,4,.500,0,0,,0,3,3,1,0,0,0,3,8,away,/boxscores/200004090CHH.html
Zan Tabak,2:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,away,/boxscores/200004090CHH.html
Team Totals,240,31,84,.369,6,14,.429,12,14,.857,10,34,44,23,3,3,11,25,80,away,/boxscores/200004090CHH.html
Anthony Mason,46:00,6,13,.462,0,0,,6,7,.857,1,9,10,5,0,0,4,3,18,home,/boxscores/200004090CHH.html
Elden Campbell,44:00,7,11,.636,0,0,,5,8,.625,2,11,13,1,1,1,1,2,19,home,/boxscores/200004090CHH.html
Eddie Jones,43:00,5,17,.294,0,5,.000,9,10,.900,3,4,7,5,2,2,1,2,19,home,/boxscores/200004090CHH.html
Derrick Coleman,31:00,6,16,.375,3,5,.600,4,4,1.000,0,8,8,4,0,2,0,4,19,home,/boxscores/200004090CHH.html
David Wesley,24:00,0,6,.000,0,0,,0,0,,0,2,2,3,0,0,0,0,0,home,/boxscores/200004090CHH.html
Baron Davis,24:00,3,5,.600,1,2,.500,3,5,.600,2,2,4,4,1,0,2,4,10,home,/boxscores/200004090CHH.html
Eddie Robinson,18:00,4,5,.800,0,0,,2,2,1.000,1,5,6,0,1,0,0,0,10,home,/boxscores/200004090CHH.html
Chucky Brown,10:00,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,2,1,home,/boxscores/200004090CHH.html
Team Totals,240,31,74,.419,4,12,.333,30,38,.789,9,42,51,22,5,5,8,17,96,home,/boxscores/200004090CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Anthony Mason,45:00,7,13,.538,0,0,,5,7,.714,3,6,9,9,1,2,2,3,19,away,/boxscores/200004100WAS.html
Eddie Jones,44:00,9,15,.600,1,1,1.000,7,7,1.000,1,2,3,2,1,2,2,4,26,away,/boxscores/200004100WAS.html
Derrick Coleman,42:00,7,17,.412,0,1,.000,2,4,.500,5,11,16,2,0,2,1,3,16,away,/boxscores/200004100WAS.html
David Wesley,41:00,10,17,.588,0,1,.000,1,4,.250,2,3,5,3,1,0,1,4,21,away,/boxscores/200004100WAS.html
Elden Campbell,33:00,4,12,.333,0,1,.000,7,13,.538,3,4,7,1,0,4,2,5,15,away,/boxscores/200004100WAS.html
Brad Miller,13:00,2,2,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,6,away,/boxscores/200004100WAS.html
Baron Davis,12:00,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,2,3,2,away,/boxscores/200004100WAS.html
Eddie Robinson,10:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,away,/boxscores/200004100WAS.html
Team Totals,240,41,81,.506,1,4,.250,24,37,.649,14,28,42,18,4,10,10,22,107,away,/boxscores/200004100WAS.html
Juwan Howard,43:00,7,14,.500,0,0,,2,4,.500,1,3,4,6,0,0,3,3,16,home,/boxscores/200004100WAS.html
Mitch Richmond,40:00,6,13,.462,1,1,1.000,8,8,1.000,0,3,3,3,2,0,1,2,21,home,/boxscores/200004100WAS.html
Gerard King,30:00,7,10,.700,0,0,,0,0,,1,3,4,2,1,0,1,4,14,home,/boxscores/200004100WAS.html
Chris Whitney,29:00,6,12,.500,2,5,.400,0,0,,0,1,1,10,0,1,0,5,14,home,/boxscores/200004100WAS.html
Jahidi White,15:00,1,3,.333,0,0,,3,4,.750,2,4,6,0,0,1,0,4,5,home,/boxscores/200004100WAS.html
Richard Hamilton,28:00,8,12,.667,0,1,.000,3,6,.500,1,1,2,7,1,0,0,3,19,home,/boxscores/200004100WAS.html
Don Reid,20:00,4,6,.667,0,0,,0,0,,0,5,5,0,0,1,1,6,8,home,/boxscores/200004100WAS.html
Tracy Murray,16:00,1,1,1.000,0,0,,4,4,1.000,0,4,4,1,0,0,1,0,6,home,/boxscores/200004100WAS.html
Aaron Williams,11:00,1,6,.167,0,1,.000,0,0,,1,4,5,0,0,2,0,2,2,home,/boxscores/200004100WAS.html
Calvin Booth,8:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,2,0,1,0,home,/boxscores/200004100WAS.html
Team Totals,240,41,80,.513,3,8,.375,20,26,.769,6,28,34,29,4,7,7,30,105,home,/boxscores/200004100WAS.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Jim Jackson,32:00,6,14,.429,1,1,1.000,0,0,,0,3,3,4,0,0,4,1,13,away,/boxscores/200004120CHH.html
LaPhonso Ellis,32:00,5,11,.455,0,1,.000,0,0,,1,2,3,1,0,2,1,2,10,away,/boxscores/200004120CHH.html
Jason Terry,32:00,3,8,.375,0,2,.000,1,2,.500,0,3,3,8,3,0,5,1,7,away,/boxscores/200004120CHH.html
Dikembe Mutombo,29:00,0,0,,0,0,,3,4,.750,2,5,7,3,0,0,3,3,3,away,/boxscores/200004120CHH.html
Alan Henderson,23:00,3,11,.273,0,1,.000,2,3,.667,1,2,3,1,3,1,1,5,8,away,/boxscores/200004120CHH.html
Dion Glover,24:00,6,13,.462,0,2,.000,2,2,1.000,2,1,3,1,0,1,0,2,14,away,/boxscores/200004120CHH.html
Lorenzen Wright,23:00,2,9,.222,0,1,.000,3,4,.750,3,4,7,1,0,1,2,6,7,away,/boxscores/200004120CHH.html
Bimbo Coles,20:00,5,7,.714,0,1,.000,2,2,1.000,0,0,0,3,0,0,1,1,12,away,/boxscores/200004120CHH.html
Cal Bowdler,17:00,6,8,.750,0,0,,1,1,1.000,1,1,2,1,1,0,0,3,13,away,/boxscores/200004120CHH.html
Drew Barry,8:00,0,1,.000,0,0,,0,0,,0,0,0,3,0,0,0,2,0,away,/boxscores/200004120CHH.html
Team Totals,240,36,82,.439,1,9,.111,14,18,.778,10,21,31,26,7,5,17,26,87,away,/boxscores/200004120CHH.html
Anthony Mason,38:00,3,10,.300,0,0,,2,4,.500,0,5,5,10,2,1,1,0,8,home,/boxscores/200004120CHH.html
David Wesley,34:00,12,17,.706,3,4,.750,2,3,.667,0,1,1,6,1,0,2,2,29,home,/boxscores/200004120CHH.html
Elden Campbell,28:00,4,7,.571,0,0,,3,4,.750,1,4,5,4,0,1,4,3,11,home,/boxscores/200004120CHH.html
Eddie Jones,28:00,3,11,.273,1,4,.250,2,2,1.000,1,2,3,4,3,1,1,1,9,home,/boxscores/200004120CHH.html
Derrick Coleman,27:00,6,10,.600,0,1,.000,0,1,.000,1,6,7,0,0,1,2,2,12,home,/boxscores/200004120CHH.html
Baron Davis,23:00,2,2,1.000,1,1,1.000,2,2,1.000,2,3,5,8,1,0,3,0,7,home,/boxscores/200004120CHH.html
Eddie Robinson,19:00,4,5,.800,0,0,,2,2,1.000,2,2,4,0,0,3,0,1,10,home,/boxscores/200004120CHH.html
Brad Miller,17:00,4,5,.800,0,0,,7,8,.875,3,5,8,1,1,1,0,5,15,home,/boxscores/200004120CHH.html
Ricky Davis,10:00,2,7,.286,0,0,,5,5,1.000,1,1,2,1,0,0,1,1,9,home,/boxscores/200004120CHH.html
Chucky Brown,8:00,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,0,4,home,/boxscores/200004120CHH.html
Eldridge Recasner,4:00,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,home,/boxscores/200004120CHH.html
Todd Fuller,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,1,0,2,home,/boxscores/200004120CHH.html
Team Totals,240,44,81,.543,6,12,.500,25,31,.806,11,31,42,35,8,9,15,15,119,home,/boxscores/200004120CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Eddie Jones,50:00,11,18,.611,7,12,.583,0,0,,1,5,6,3,5,0,1,2,29,away,/boxscores/200004140MIL.html
David Wesley,46:00,8,16,.500,0,0,,8,10,.800,1,3,4,5,1,0,2,5,24,away,/boxscores/200004140MIL.html
Derrick Coleman,44:00,4,15,.267,1,2,.500,1,2,.500,2,10,12,6,1,0,1,3,10,away,/boxscores/200004140MIL.html
Elden Campbell,43:00,4,9,.444,0,0,,7,8,.875,2,7,9,3,1,0,0,2,15,away,/boxscores/200004140MIL.html
Anthony Mason,42:00,7,14,.500,0,0,,4,4,1.000,3,5,8,6,1,0,3,5,18,away,/boxscores/200004140MIL.html
Eddie Robinson,18:00,3,11,.273,0,0,,0,0,,1,2,3,1,0,0,0,0,6,away,/boxscores/200004140MIL.html
Baron Davis,10:00,2,3,.667,0,1,.000,0,0,,0,0,0,4,0,1,0,2,4,away,/boxscores/200004140MIL.html
Brad Miller,7:00,1,1,1.000,0,0,,1,2,.500,0,2,2,0,0,1,1,0,3,away,/boxscores/200004140MIL.html
Chucky Brown,5:00,0,2,.000,0,0,,0,0,,0,2,2,0,1,0,0,2,0,away,/boxscores/200004140MIL.html
Team Totals,265,40,89,.449,8,15,.533,21,26,.808,10,36,46,28,10,2,8,21,109,away,/boxscores/200004140MIL.html
Ray Allen,48:00,7,19,.368,3,9,.333,9,10,.900,0,5,5,6,2,1,5,1,26,home,/boxscores/200004140MIL.html
Glenn Robinson,46:00,15,30,.500,2,5,.400,6,7,.857,1,2,3,0,0,1,4,5,38,home,/boxscores/200004140MIL.html
Sam Cassell,45:00,6,13,.462,0,0,,4,4,1.000,1,2,3,11,1,0,3,3,16,home,/boxscores/200004140MIL.html
Ervin Johnson,33:00,3,6,.500,0,0,,1,1,1.000,0,11,11,2,0,0,0,2,7,home,/boxscores/200004140MIL.html
Darvin Ham,23:00,0,1,.000,0,0,,0,0,,2,2,4,2,1,0,0,2,0,home,/boxscores/200004140MIL.html
Tim Thomas,30:00,4,10,.400,3,5,.600,3,4,.750,3,6,9,0,1,0,1,3,14,home,/boxscores/200004140MIL.html
Scott Williams,24:00,0,4,.000,0,0,,1,2,.500,4,5,9,1,1,1,0,3,1,home,/boxscores/200004140MIL.html
Rafer Alston,15:00,2,5,.400,0,1,.000,0,0,,0,1,1,3,0,0,2,1,4,home,/boxscores/200004140MIL.html
Vinny Del Negro,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,home,/boxscores/200004140MIL.html
Team Totals,265,37,88,.420,8,20,.400,24,28,.857,11,34,45,25,6,3,15,20,106,home,/boxscores/200004140MIL.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Anthony Mason,40:00,4,10,.400,0,0,,2,2,1.000,2,10,12,3,0,0,5,3,10,away,/boxscores/200004160BOS.html
Eddie Jones,25:00,9,14,.643,2,3,.667,5,5,1.000,0,6,6,0,0,1,3,2,25,away,/boxscores/200004160BOS.html
Derrick Coleman,25:00,3,12,.250,1,4,.250,2,2,1.000,1,6,7,4,0,0,2,2,9,away,/boxscores/200004160BOS.html
David Wesley,25:00,3,6,.500,1,2,.500,1,2,.500,0,1,1,3,2,0,1,1,8,away,/boxscores/200004160BOS.html
Elden Campbell,21:00,1,4,.250,0,0,,0,0,,0,0,0,0,0,2,0,3,2,away,/boxscores/200004160BOS.html
Brad Miller,27:00,3,5,.600,0,0,,4,5,.800,2,5,7,3,1,1,0,3,10,away,/boxscores/200004160BOS.html
Eddie Robinson,24:00,7,10,.700,0,0,,2,2,1.000,1,5,6,0,1,0,0,3,16,away,/boxscores/200004160BOS.html
Baron Davis,23:00,5,8,.625,0,2,.000,0,2,.000,2,2,4,5,2,0,0,1,10,away,/boxscores/200004160BOS.html
Chucky Brown,22:00,5,9,.556,0,0,,2,3,.667,0,0,0,0,0,0,0,6,12,away,/boxscores/200004160BOS.html
Ricky Davis,8:00,1,3,.333,0,0,,1,2,.500,0,1,1,1,1,0,3,2,3,away,/boxscores/200004160BOS.html
Team Totals,240,41,81,.506,4,11,.364,19,25,.760,8,36,44,19,7,4,14,26,105,away,/boxscores/200004160BOS.html
Paul Pierce,43:00,4,14,.286,1,4,.250,9,13,.692,0,6,6,2,1,0,0,4,18,home,/boxscores/200004160BOS.html
Antoine Walker,41:00,8,17,.471,0,4,.000,5,6,.833,0,8,8,10,2,0,1,4,21,home,/boxscores/200004160BOS.html
Eric Williams,32:00,6,13,.462,1,4,.250,7,9,.778,2,5,7,1,2,1,2,1,20,home,/boxscores/200004160BOS.html
Kenny Anderson,30:00,5,10,.500,1,3,.333,1,4,.250,1,3,4,3,1,0,2,2,12,home,/boxscores/200004160BOS.html
Vitaly Potapenko,24:00,4,7,.571,0,0,,1,2,.500,2,2,4,2,2,0,0,2,9,home,/boxscores/200004160BOS.html
Dana Barros,18:00,3,8,.375,1,1,1.000,0,0,,1,2,3,1,1,0,0,0,7,home,/boxscores/200004160BOS.html
Walter McCarty,17:00,1,4,.250,1,2,.500,0,0,,1,1,2,1,1,0,3,2,3,home,/boxscores/200004160BOS.html
Danny Fortson,16:00,3,6,.500,0,0,,0,1,.000,2,5,7,0,1,0,2,3,6,home,/boxscores/200004160BOS.html
Tony Battie,15:00,3,4,.750,0,0,,0,1,.000,1,2,3,0,0,0,0,2,6,home,/boxscores/200004160BOS.html
Calbert Cheaney,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,home,/boxscores/200004160BOS.html
Adrian Griffin,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,home,/boxscores/200004160BOS.html
Team Totals,240,37,83,.446,5,18,.278,23,36,.639,10,34,44,20,11,1,10,22,102,home,/boxscores/200004160BOS.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Anthony Mason,40:00,6,11,.545,0,0,,4,4,1.000,1,10,11,5,0,1,2,3,16,away,/boxscores/200004180CLE.html
Eddie Jones,38:00,6,16,.375,2,8,.250,2,2,1.000,1,2,3,5,3,0,1,2,16,away,/boxscores/200004180CLE.html
David Wesley,33:00,10,13,.769,1,1,1.000,2,6,.333,0,1,1,5,2,0,3,2,23,away,/boxscores/200004180CLE.html
Elden Campbell,31:00,3,10,.300,0,0,,4,4,1.000,0,5,5,5,1,3,0,4,10,away,/boxscores/200004180CLE.html
Derrick Coleman,27:00,7,13,.538,3,3,1.000,4,5,.800,0,11,11,3,2,2,0,0,21,away,/boxscores/200004180CLE.html
Eddie Robinson,23:00,2,6,.333,0,0,,0,0,,0,4,4,0,1,1,2,1,4,away,/boxscores/200004180CLE.html
Brad Miller,17:00,2,5,.400,0,0,,4,4,1.000,4,3,7,0,0,0,1,2,8,away,/boxscores/200004180CLE.html
Baron Davis,16:00,1,4,.250,1,3,.333,0,0,,1,2,3,3,0,0,2,2,3,away,/boxscores/200004180CLE.html
Ricky Davis,7:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,0,2,away,/boxscores/200004180CLE.html
Eldridge Recasner,3:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,away,/boxscores/200004180CLE.html
Chucky Brown,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,2,0,away,/boxscores/200004180CLE.html
Todd Fuller,2:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,away,/boxscores/200004180CLE.html
Team Totals,240,38,83,.458,7,15,.467,20,25,.800,7,40,47,27,9,9,11,18,103,away,/boxscores/200004180CLE.html
Andre Miller,30:00,7,13,.538,0,0,,2,2,1.000,5,2,7,10,2,0,2,3,16,home,/boxscores/200004180CLE.html
Mark Bryant,26:00,0,3,.000,0,0,,0,0,,1,6,7,0,0,1,3,2,0,home,/boxscores/200004180CLE.html
Lamond Murray,25:00,3,12,.250,0,1,.000,0,0,,1,4,5,1,0,2,2,4,6,home,/boxscores/200004180CLE.html
Shawn Kemp,24:00,4,13,.308,0,0,,7,8,.875,5,9,14,2,0,0,2,5,15,home,/boxscores/200004180CLE.html
Wesley Person,20:00,5,13,.385,1,2,.500,0,0,,1,0,1,1,1,0,0,2,11,home,/boxscores/200004180CLE.html
Bob Sura,28:00,9,15,.600,1,4,.250,1,1,1.000,0,1,1,2,1,0,0,1,20,home,/boxscores/200004180CLE.html
Cedric Henderson,23:00,1,4,.250,0,0,,0,0,,1,4,5,1,1,1,2,1,2,home,/boxscores/200004180CLE.html
Lari Ketner,22:00,0,5,.000,0,0,,1,2,.500,2,6,8,0,1,1,1,0,1,home,/boxscores/200004180CLE.html
Earl Boykins,18:00,4,14,.286,1,3,.333,2,2,1.000,2,0,2,2,1,0,1,1,11,home,/boxscores/200004180CLE.html
Andrew DeClercq,12:00,1,5,.200,0,0,,1,2,.500,2,1,3,1,1,1,0,0,3,home,/boxscores/200004180CLE.html
Danny Ferry,12:00,1,3,.333,1,1,1.000,0,0,,1,3,4,1,0,2,0,3,3,home,/boxscores/200004180CLE.html
Team Totals,240,35,100,.350,4,11,.364,14,17,.824,21,36,57,21,8,8,13,22,88,home,/boxscores/200004180CLE.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Anthony Carter,38:00,7,11,.636,0,0,,2,2,1.000,0,2,2,4,2,0,5,2,16,away,/boxscores/200004190CHH.html
Jamal Mashburn,34:00,5,13,.385,3,6,.500,2,2,1.000,1,5,6,2,1,0,2,3,15,away,/boxscores/200004190CHH.html
P.J. Brown,30:00,2,8,.250,0,0,,0,0,,5,5,10,2,2,0,0,1,4,away,/boxscores/200004190CHH.html
Alonzo Mourning,23:00,4,9,.444,0,0,,5,6,.833,1,3,4,3,0,0,1,1,13,away,/boxscores/200004190CHH.html
Dan Majerle,18:00,1,6,.167,0,4,.000,0,0,,2,0,2,3,1,0,0,0,2,away,/boxscores/200004190CHH.html
Clarence Weatherspoon,25:00,1,2,.500,0,0,,2,2,1.000,1,2,3,3,0,0,0,2,4,away,/boxscores/200004190CHH.html
Bruce Bowen,19:00,0,3,.000,0,1,.000,0,0,,0,3,3,1,0,1,0,2,0,away,/boxscores/200004190CHH.html
Otis Thorpe,17:00,3,7,.429,0,0,,0,0,,1,1,2,1,0,0,1,6,6,away,/boxscores/200004190CHH.html
Rodney Buford,14:00,3,6,.500,0,1,.000,0,0,,1,2,3,2,0,0,1,2,6,away,/boxscores/200004190CHH.html
Mark Strickland,12:00,3,6,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,6,away,/boxscores/200004190CHH.html
Duane Causwell,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,away,/boxscores/200004190CHH.html
Tim James,4:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,away,/boxscores/200004190CHH.html
Team Totals,240,29,72,.403,3,12,.250,12,14,.857,12,24,36,21,6,1,10,23,73,away,/boxscores/200004190CHH.html
Anthony Mason,43:00,7,12,.583,0,0,,0,0,,1,6,7,6,1,0,2,1,14,home,/boxscores/200004190CHH.html
Eddie Jones,37:00,3,8,.375,0,4,.000,8,8,1.000,0,3,3,5,2,0,2,2,14,home,/boxscores/200004190CHH.html
Derrick Coleman,33:00,4,12,.333,0,2,.000,4,4,1.000,1,5,6,2,1,1,1,2,12,home,/boxscores/200004190CHH.html
Elden Campbell,29:00,5,12,.417,0,0,,1,2,.500,2,6,8,3,0,0,1,2,11,home,/boxscores/200004190CHH.html
David Wesley,24:00,3,7,.429,0,1,.000,0,0,,0,1,1,2,0,0,0,1,6,home,/boxscores/200004190CHH.html
