game_id,season,home_points,away_points,variable,value,points
4778,2004,104.0,80.0,away_team,Philadelphia 76ers,80.0
4779,2004,85.0,81.0,away_team,Utah Jazz,81.0
4780,2004,114.0,108.0,away_team,Sacramento Kings,108.0
4781,2004,94.0,97.0,away_team,Seattle SuperSonics,97.0
4782,2004,71.0,89.0,away_team,Detroit Pistons,89.0
4783,2004,106.0,86.0,away_team,Minnesota Timberwolves,86.0
4784,2004,88.0,97.0,away_team,Utah Jazz,97.0
4785,2004,120.0,104.0,away_team,Boston Celtics,104.0
4786,2004,94.0,75.0,away_team,Denver Nuggets,75.0
4787,2004,90.0,84.0,away_team,Houston Rockets,84.0
4788,2004,92.0,94.0,away_team,Sacramento Kings,94.0
4789,2004,106.0,100.0,away_team,Los Angeles Clippers,100.0
4790,2004,80.0,91.0,away_team,Seattle SuperSonics,91.0
4791,2004,79.0,65.0,away_team,New Jersey Nets,65.0
4792,2004,80.0,93.0,away_team,Minnesota Timberwolves,93.0
4793,2004,91.0,96.0,away_team,Chicago Bulls,96.0
4794,2004,94.0,84.0,away_team,Atlanta Hawks,84.0
4795,2004,81.0,87.0,away_team,Utah Jazz,87.0
4796,2004,87.0,81.0,away_team,New York Knicks,81.0
4797,2004,99.0,95.0,away_team,Indiana Pacers,95.0
4798,2004,101.0,69.0,away_team,Philadelphia 76ers,69.0
4799,2004,123.0,111.0,away_team,Milwaukee Bucks,111.0
4800,2004,92.0,73.0,away_team,Orlando Magic,73.0
4801,2004,103.0,87.0,away_team,Boston Celtics,87.0
4802,2004,76.0,96.0,away_team,Detroit Pistons,96.0
4803,2004,85.0,96.0,away_team,Golden State Warriors,96.0
4804,2004,104.0,103.0,away_team,Milwaukee Bucks,103.0
4805,2004,98.0,77.0,away_team,Denver Nuggets,77.0
4806,2004,98.0,101.0,away_team,Dallas Mavericks,101.0
4807,2004,120.0,121.0,away_team,Toronto Raptors,121.0
4808,2004,100.0,95.0,away_team,Houston Rockets,95.0
4809,2004,84.0,67.0,away_team,Orlando Magic,67.0
4810,2004,81.0,101.0,away_team,Miami Heat,101.0
4811,2004,102.0,80.0,away_team,Los Angeles Clippers,80.0
4812,2004,101.0,77.0,away_team,Chicago Bulls,77.0
4813,2004,96.0,84.0,away_team,Atlanta Hawks,84.0
4814,2004,107.0,98.0,away_team,Dallas Mavericks,98.0
4815,2004,85.0,93.0,away_team,Houston Rockets,93.0
4816,2004,81.0,84.0,away_team,New Jersey Nets,84.0
4817,2004,86.0,103.0,away_team,Phoenix Suns,103.0
4818,2004,95.0,86.0,away_team,Toronto Raptors,86.0
