away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
MIL,.423,.264,101.5,30.0,90.1,11.8,NYK,.448,.379,111.6,26.7,90.1,10.4,/boxscores/199911080NYK.html
SEA,.488,.205,102.3,30.0,95.8,14.2,PHI,.510,.127,122.2,45.7,95.8,9.9,/boxscores/199911080PHI.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
PHO,.569,.292,104.5,41.7,98.6,25.2,CHI,.378,.324,81.1,34.9,98.6,22.3,/boxscores/199911090CHI.html
LAL,.653,.141,119.6,37.8,102.9,17.7,DAL,.456,.198,98.2,23.5,102.9,13.0,/boxscores/199911090DAL.html
SAS,.574,.193,116.7,27.9,101.1,13.9,GSW,.353,.232,88.0,29.8,101.1,11.6,/boxscores/199911090GSW.html
IND,.453,.158,100.6,30.2,100.4,13.4,MIA,.532,.151,112.5,32.6,100.4,12.8,/boxscores/199911090MIA.html
POR,.438,.315,106.9,32.4,81.4,10.3,UTA,.440,.493,113.0,24.3,81.4,10.7,/boxscores/199911090UTA.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
DET,.500,.310,112.4,25.6,97.9,12.6,BOS,.460,.307,94.0,18.6,97.9,19.4,/boxscores/199911100BOS.html
MIL,.558,.325,124.1,37.1,89.4,13.5,CHH,.557,.367,130.8,28.6,89.4,9.5,/boxscores/199911100CHH.html
LAL,.426,.247,98.3,27.3,90.5,14.1,HOU,.446,.297,97.2,28.6,90.5,15.3,/boxscores/199911100HOU.html
SAS,.453,.259,104.8,31.9,94.4,14.1,LAC,.486,.352,99.5,21.1,94.4,17.4,/boxscores/199911100LAC.html
PHO,.488,.247,108.1,40.0,96.2,17.9,NJN,.393,.274,92.5,28.6,96.2,14.2,/boxscores/199911100NJN.html
PHI,.500,.154,109.0,34.8,96.3,13.0,ORL,.529,.221,114.2,24.4,96.3,10.2,/boxscores/199911100ORL.html
ATL,.429,.196,95.9,22.7,91.6,12.0,VAN,.484,.141,100.8,32.6,91.6,15.4,/boxscores/199911100VAN.html
SEA,.569,.115,109.6,22.2,99.5,14.6,WAS,.489,.078,95.5,27.5,99.5,16.6,/boxscores/199911100WAS.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
SEA,.489,.181,110.2,32.7,98.9,10.2,CLE,.442,.117,104.1,34.5,98.9,9.8,/boxscores/199911110CLE.html
TOR,.571,.321,123.8,39.4,99.4,15.6,DET,.417,.344,106.7,30.9,99.4,10.8,/boxscores/199911110DET.html
ORL,.506,.124,103.5,32.6,97.6,17.3,IND,.628,.311,118.9,20.0,97.6,16.2,/boxscores/199911110IND.html
DAL,.454,.175,100.5,13.5,104.4,7.0,MIA,.619,.216,122.6,25.7,104.4,15.6,/boxscores/199911110MIA.html
NYK,.458,.155,100.6,23.8,89.5,10.8,MIN,.436,.321,103.9,20.0,89.5,8.9,/boxscores/199911110MIN.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
NYK,.426,.235,85.9,17.1,86.1,16.8,BOS,.451,.208,92.9,34.1,86.1,18.5,/boxscores/199911120BOS.html
NJN,.514,.250,94.6,22.9,97.2,21.8,CHH,.448,.351,98.7,18.4,97.2,15.6,/boxscores/199911120CHH.html
POR,.461,.124,105.6,31.9,88.1,12.1,DEN,.396,.159,88.6,34.0,88.1,15.0,/boxscores/199911120DEN.html
HOU,.535,.296,107.8,27.3,90.0,19.8,LAL,.355,.265,90.0,30.0,90.0,13.8,/boxscores/199911120LAL.html
PHO,.419,.233,99.7,37.5,92.3,14.7,MIL,.565,.260,115.9,18.9,92.3,12.0,/boxscores/199911120MIL.html
CHI,.462,.165,90.4,18.9,95.1,19.0,PHI,.500,.333,96.7,27.8,95.1,21.6,/boxscores/199911120PHI.html
UTA,.415,.216,96.3,34.0,95.6,14.8,SAC,.483,.227,109.9,30.6,95.6,11.4,/boxscores/199911120SAC.html
GSW,.500,.198,106.5,27.9,96.7,15.1,VAN,.459,.176,96.2,37.2,96.7,18.2,/boxscores/199911120VAN.html
MIA,.539,.273,111.4,12.8,93.3,10.0,WAS,.426,.227,101.8,30.0,93.3,10.8,/boxscores/199911120WAS.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
BOS,.396,.317,99.8,25.0,91.2,9.3,CHI,.514,.268,100.9,20.5,91.2,16.1,/boxscores/199911130CHI.html
MIL,.482,.369,107.6,33.3,104.1,17.2,CLE,.500,.444,112.4,34.1,104.1,15.6,/boxscores/199911130CLE.html
ORL,.576,.224,106.0,26.3,110.4,22.5,DAL,.552,.333,113.3,23.9,110.4,14.0,/boxscores/199911130DAL.html
SEA,.455,.202,96.8,28.0,102.3,14.3,DET,.488,.282,104.6,28.6,102.3,17.0,/boxscores/199911130DET.html
HOU,.453,.306,109.4,28.0,94.1,10.0,GSW,.416,.168,100.9,37.5,94.1,12.7,/boxscores/199911130GSW.html
WAS,.370,.163,89.7,36.5,92.5,13.1,IND,.494,.277,113.5,25.0,92.5,10.3,/boxscores/199911130IND.html
PHO,.454,.241,100.5,23.4,99.5,14.2,MIN,.543,.120,111.6,28.9,99.5,13.2,/boxscores/199911130MIN.html
ATL,.450,.156,93.1,24.0,102.0,13.8,POR,.679,.259,128.4,27.3,102.0,15.2,/boxscores/199911130POR.html
CHH,.368,.172,89.6,26.0,88.2,8.6,SAS,.500,.145,107.7,26.8,88.2,11.9,/boxscores/199911130SAS.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
ATL,.426,.235,95.7,40.8,91.9,16.6,LAL,.452,.202,101.2,33.3,91.9,10.9,/boxscores/199911140LAL.html
MIA,.514,.314,109.8,12.9,85.6,6.7,NYK,.421,.232,102.8,30.2,85.6,11.5,/boxscores/199911140NYK.html
DEN,.572,.144,111.1,20.5,104.5,14.8,SAC,.574,.179,120.6,26.2,104.5,10.2,/boxscores/199911140SAC.html
PHI,.470,.167,100.7,34.9,92.4,16.9,TOR,.404,.346,97.4,35.7,92.4,16.3,/boxscores/199911140TOR.html
LAC,.426,.247,94.9,34.1,93.8,16.8,VAN,.614,.152,116.2,23.5,93.8,16.6,/boxscores/199911140VAN.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
IND,.428,.301,101.2,17.4,94.9,10.4,HOU,.448,.116,91.7,27.3,94.9,15.6,/boxscores/199911150HOU.html
SEA,.500,.389,107.9,38.9,92.7,19.9,NJN,.361,.188,99.2,41.7,92.7,8.2,/boxscores/199911150NJN.html
LAL,.395,.408,102.5,30.4,88.8,9.4,PHO,.391,.161,92.4,24.0,88.8,7.7,/boxscores/199911150PHO.html
SAS,.479,.257,98.9,17.5,85.9,15.5,UTA,.507,.216,105.9,35.1,85.9,15.1,/boxscores/199911150UTA.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
CHH,.476,.214,106.4,25.0,92.1,10.5,ATL,.483,.233,111.8,36.4,92.1,11.6,/boxscores/199911160ATL.html
HOU,.397,.239,93.3,36.1,101.8,13.7,DAL,.534,.227,112.0,12.5,101.8,10.0,/boxscores/199911160DAL.html
NYK,.585,.268,107.1,11.1,95.2,17.1,DEN,.493,.352,99.7,25.0,95.2,18.6,/boxscores/199911160DEN.html
CHI,.370,.120,83.8,31.1,94.3,12.9,GSW,.448,.241,105.0,34.0,94.3,10.7,/boxscores/199911160GSW.html
POR,.549,.306,116.4,28.1,86.8,13.3,MIA,.506,.145,110.6,28.3,86.8,11.8,/boxscores/199911160MIA.html
LAC,.405,.168,100.4,40.0,92.6,10.1,MIL,.519,.256,109.0,18.9,92.6,12.8,/boxscores/199911160MIL.html
VAN,.386,.157,78.7,29.8,97.8,17.5,SAC,.339,.167,82.8,32.3,97.8,13.1,/boxscores/199911160SAC.html
IND,.436,.053,87.7,25.5,89.9,15.7,SAS,.404,.277,90.7,20.8,89.9,14.3,/boxscores/199911160SAS.html
DET,.408,.109,88.4,29.2,96.2,15.6,TOR,.464,.343,92.5,31.4,96.2,22.8,/boxscores/199911160TOR.html
PHI,.507,.343,101.0,18.2,94.1,15.6,WAS,.361,.203,77.6,30.2,94.1,17.8,/boxscores/199911160WAS.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
CLE,.488,.313,103.3,26.2,99.8,16.7,BOS,.469,.469,114.3,37.2,99.8,15.2,/boxscores/199911170BOS.html
DAL,.438,.236,96.7,15.7,102.4,13.0,CHH,.427,.415,101.6,38.6,102.4,17.3,/boxscores/199911170CHH.html
NJN,.539,.329,113.2,24.3,94.5,14.3,DET,.554,.190,115.3,30.0,94.5,13.7,/boxscores/199911170DET.html
LAC,.429,.299,97.8,23.1,91.0,12.5,MIN,.400,.144,93.4,34.6,91.0,11.6,/boxscores/199911170MIN.html
POR,.422,.133,87.3,23.9,92.8,16.5,ORL,.352,.165,85.2,43.9,92.8,16.1,/boxscores/199911170ORL.html
MIA,.476,.244,109.9,42.6,89.2,13.6,PHI,.392,.273,104.3,33.3,89.2,7.2,/boxscores/199911170PHI.html
CHI,.445,.375,85.7,23.5,94.5,23.2,PHO,.572,.237,111.2,29.0,94.5,20.4,/boxscores/199911170PHO.html
GSW,.551,.125,110.5,30.6,97.7,15.0,SEA,.553,.200,113.6,21.6,97.7,11.2,/boxscores/199911170SEA.html
NYK,.476,.146,98.7,19.5,91.2,10.9,UTA,.486,.351,107.5,34.2,91.2,16.9,/boxscores/199911170UTA.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
LAL,.493,.107,90.7,16.7,90.4,12.4,DEN,.480,.263,102.9,26.3,90.4,15.1,/boxscores/199911180DEN.html
SAC,.525,.242,124.0,32.0,103.2,8.2,HOU,.495,.144,106.6,38.6,103.2,16.0,/boxscores/199911180HOU.html
SAS,.457,.362,97.9,32.5,89.9,19.1,MIL,.500,.165,110.1,29.5,89.9,12.3,/boxscores/199911180MIL.html
SEA,.494,.306,116.9,24.5,94.1,7.4,VAN,.574,.311,114.7,39.5,94.1,19.2,/boxscores/199911180VAN.html
TOR,.365,.224,84.1,25.4,96.3,14.0,WAS,.408,.395,95.6,27.9,96.3,16.3,/boxscores/199911180WAS.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
NJN,.449,.193,101.5,32.7,94.6,14.0,BOS,.535,.198,115.3,41.0,94.6,15.0,/boxscores/199911190BOS.html
SAC,.412,.308,101.9,29.3,101.1,11.8,DAL,.411,.109,93.0,29.3,101.1,12.4,/boxscores/199911190DAL.html
CLE,.423,.226,86.3,18.9,104.3,17.3,DET,.439,.486,96.8,28.6,104.3,21.0,/boxscores/199911190DET.html
ATL,.458,.177,118.5,39.6,88.6,7.8,IND,.464,.265,111.8,34.1,88.6,9.6,/boxscores/199911190IND.html
CHI,.401,.302,97.8,30.0,97.2,12.7,LAL,.476,.683,106.0,29.7,97.2,16.5,/boxscores/199911190LAL.html
UTA,.380,.360,94.7,30.8,88.7,14.5,MIN,.442,.256,100.3,33.3,88.7,15.8,/boxscores/199911190MIN.html
CHH,.535,.128,100.2,25.0,102.8,18.1,ORL,.458,.179,89.5,24.4,102.8,18.2,/boxscores/199911190ORL.html
POR,.535,.296,102.5,12.8,94.7,13.9,PHI,.429,.212,96.1,22.9,94.7,11.1,/boxscores/199911190PHI.html
NYK,.424,.379,92.7,25.6,87.4,18.9,PHO,.514,.362,109.8,31.6,87.4,18.0,/boxscores/199911190PHO.html
LAC,.482,.241,107.4,37.0,93.1,16.5,TOR,.519,.288,113.8,29.7,93.1,12.3,/boxscores/199911190TOR.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
ORL,.475,.120,105.6,21.6,101.4,7.8,ATL,.500,.144,101.6,27.1,101.4,13.1,/boxscores/199911200ATL.html
POR,.450,.211,100.0,20.0,90.6,11.5,CHH,.399,.281,96.0,37.7,90.6,14.7,/boxscores/199911200CHH.html
IND,.544,.088,113.9,23.8,93.9,9.3,CLE,.552,.169,104.3,31.4,93.9,20.7,/boxscores/199911200CLE.html
CHI,.414,.161,102.6,40.5,83.8,10.3,DEN,.515,.388,113.3,33.3,83.8,16.3,/boxscores/199911200DEN.html
NYK,.442,.234,96.6,34.9,89.0,17.9,GSW,.360,.198,88.8,30.4,89.0,10.9,/boxscores/199911200GSW.html
BOS,.488,.175,99.8,32.5,92.2,18.3,MIA,.571,.269,119.3,29.4,92.2,13.4,/boxscores/199911200MIA.html
UTA,.581,.225,119.5,20.0,92.9,10.9,MIL,.506,.269,107.7,23.3,92.9,13.4,/boxscores/199911200MIL.html
PHI,.507,.338,110.5,27.0,90.5,13.5,NJN,.423,.507,106.1,36.6,90.5,15.7,/boxscores/199911200NJN.html
DAL,.418,.141,95.9,26.4,93.9,8.3,SAS,.510,.020,112.9,35.8,93.9,11.1,/boxscores/199911200SAS.html
HOU,.522,.132,110.3,37.0,97.0,14.6,SEA,.506,.253,113.4,25.5,97.0,9.9,/boxscores/199911200SEA.html
LAC,.514,.333,105.3,16.7,93.1,14.1,WAS,.414,.129,95.6,39.2,93.1,16.0,/boxscores/199911200WAS.html
