away_team,away_points,home_team,home_points,away_rest,home_rest
Atlanta Hawks,116,Memphis Grizzlies,101,1.0,1.0
Miami Heat,97,New York Knicks,78,1.0,1.0
Detroit Pistons,87,Oklahoma City Thunder,103,1.0,1.0
Milwaukee Bucks,90,Orlando Magic,114,1.0,1.0
Golden State Warriors,135,Phoenix Suns,116,2.0,1.0
Minnesota Timberwolves,101,Sacramento Kings,91,1.0,1.0
Brooklyn Nets,88,Cleveland Cavaliers,90,2.0,0.0
Denver Nuggets,81,Dallas Mavericks,92,0.0,2.0
Sacramento Kings,101,Golden State Warriors,120,0.0,0.0
Los Angeles Lakers,96,Portland Trail Blazers,108,3.0,3.0
Atlanta Hawks,88,San Antonio Spurs,108,0.0,0.0
New Orleans Pelicans,87,Utah Jazz,101,0.0,2.0
Toronto Raptors,84,Washington Wizards,82,2.0,0.0
Detroit Pistons,83,Brooklyn Nets,87,1.0,0.0
Milwaukee Bucks,82,Charlotte Hornets,87,1.0,1.0
Minnesota Timberwolves,99,Los Angeles Clippers,107,1.0,1.0
Indiana Pacers,107,Los Angeles Lakers,103,1.0,0.0
Philadelphia 76ers,84,Memphis Grizzlies,92,1.0,1.0
Houston Rockets,116,New York Knicks,111,1.0,1.0
Boston Celtics,91,Orlando Magic,110,1.0,1.0
Phoenix Suns,107,Toronto Raptors,102,1.0,0.0
Oklahoma City Thunder,100,Atlanta Hawks,106,2.0,1.0
San Antonio Spurs,89,Chicago Bulls,92,1.0,2.0
Houston Rockets,105,Detroit Pistons,116,0.0,0.0
Portland Trail Blazers,87,Los Angeles Clippers,102,1.0,0.0
Boston Celtics,105,Miami Heat,95,0.0,2.0
Denver Nuggets,74,Milwaukee Bucks,92,1.0,0.0
Dallas Mavericks,98,Sacramento Kings,112,1.0,1.0
Golden State Warriors,106,Utah Jazz,103,1.0,1.0
Phoenix Suns,91,Brooklyn Nets,94,1.0,1.0
Washington Wizards,97,Cleveland Cavaliers,85,2.0,2.0
Orlando Magic,96,Minnesota Timberwolves,93,1.0,1.0
Memphis Grizzlies,113,New Orleans Pelicans,104,1.0,2.0
Los Angeles Lakers,91,Philadelphia 76ers,103,1.0,1.0
Dallas Mavericks,115,Portland Trail Blazers,112,0.0,0.0
Toronto Raptors,96,Atlanta Hawks,86,2.0,1.0
Denver Nuggets,90,Chicago Bulls,99,1.0,1.0
Golden State Warriors,116,Charlotte Hornets,99,1.0,2.0
Phoenix Suns,122,Detroit Pistons,127,0.0,1.0
New Orleans Pelicans,101,Houston Rockets,108,0.0,1.0
Indiana Pacers,103,Los Angeles Clippers,91,2.0,1.0
Philadelphia 76ers,87,New York Knicks,99,0.0,2.0
Milwaukee Bucks,70,San Antonio Spurs,95,1.0,1.0
Los Angeles Lakers,108,Washington Wizards,104,0.0,0.0
San Antonio Spurs,103,Memphis Grizzlies,83,0.0,1.0
Oklahoma City Thunder,95,Miami Heat,97,2.0,2.0
Indiana Pacers,111,Portland Trail Blazers,123,0.0,1.0
Boston Celtics,114,Sacramento Kings,97,2.0,2.0
Denver Nuggets,106,Toronto Raptors,105,0.0,0.0
Orlando Magic,103,Utah Jazz,94,1.0,2.0
Los Angeles Lakers,87,Atlanta Hawks,100,1.0,1.0
Houston Rockets,100,Dallas Mavericks,96,1.0,2.0
Milwaukee Bucks,95,Detroit Pistons,102,1.0,1.0
Cleveland Cavaliers,108,New Orleans Pelicans,114,2.0,1.0
Brooklyn Nets,91,New York Knicks,108,2.0,1.0
Phoenix Suns,106,Washington Wizards,109,1.0,1.0
Charlotte Hornets,102,Chicago Bulls,96,2.0,2.0
Sacramento Kings,113,Houston Rockets,120,1.0,0.0
Orlando Magic,101,Los Angeles Clippers,103,1.0,2.0
Cleveland Cavaliers,84,Miami Heat,99,0.0,1.0
New York Knicks,91,Milwaukee Bucks,106,0.0,0.0
Portland Trail Blazers,109,Minnesota Timberwolves,103,1.0,3.0
Denver Nuggets,108,Philadelphia 76ers,105,1.0,2.0
Boston Celtics,105,San Antonio Spurs,108,1.0,1.0
Golden State Warriors,112,Toronto Raptors,109,2.0,1.0
Indiana Pacers,119,Utah Jazz,122,1.0,1.0
