Tm,year,3P%,3P%_Opp,3PA,3PA_Opp,3PM,3PM_Opp,A/TO,AFG%,Assists,Assists_Opp,Blocks,Blocks_Opp,Def_Reb,Def_Reb_Opp,Diff,FG%,FG%.1_Opp,FG%_Opp,FGA,FGA_Opp,FGM,FGM_Opp,FT%,FT%_Opp,FTA,FTA_Opp,FTM,FTM_Opp,Off_Reb,Off_Reb_Opp,PPS,PPS_Opp,PTS,PTS_Opp,Reb_Pct_Def,Reb_Pct_Off,Reb_Pct_Tot,Steals,Steals_Opp,Tech,Tot_Reb,Tot_Reb_Opp,Turnovers,Turnovers_Opp
New Orleans,2002,0.348,0.375,994.0,1156.0,346.0,433.0,1.53,0.466,1759.0,1639.0,456.0,422.0,2505.0,2399.0,10.0,0.44,0.465,0.432,6580.0,6594.0,2893.0,2850.0,0.745,0.768,2105.0,1938.0,1568.0,1488.0,1059.0,963.0,1.17,1.16,7700.0,7621.0,0.722,0.306,0.515,653.0,625.0,95.0,3564.0,3362.0,1150.0,1140.0
New Orleans,2003,0.376,0.338,1075.0,1001.0,404.0,338.0,1.49,0.465,1807.0,1630.0,394.0,427.0,2475.0,2368.0,16.0,0.435,0.464,0.438,6695.0,6518.0,2914.0,2857.0,0.768,0.766,1910.0,1925.0,1467.0,1474.0,1097.0,909.0,1.15,1.15,7699.0,7526.0,0.731,0.317,0.522,656.0,647.0,68.0,3572.0,3277.0,1212.0,1196.0
New Orleans,2004,0.319,0.341,1666.0,1301.0,531.0,444.0,1.4,0.46,1716.0,1790.0,346.0,429.0,2418.0,2477.0,-54.0,0.42,0.476,0.441,6605.0,6443.0,2772.0,2843.0,0.751,0.75,1937.0,1877.0,1454.0,1407.0,1091.0,972.0,1.14,1.17,7529.0,7537.0,0.713,0.306,0.504,708.0,613.0,83.0,3509.0,3449.0,1228.0,1282.0
New Orleans,2005,0.315,0.367,1316.0,1346.0,415.0,494.0,1.42,0.446,1724.0,1742.0,310.0,452.0,2281.0,2485.0,-132.0,0.415,0.491,0.452,6556.0,6299.0,2718.0,2847.0,0.766,0.775,1830.0,2122.0,1401.0,1644.0,1019.0,947.0,1.11,1.24,7252.0,7832.0,0.707,0.291,0.49,550.0,634.0,50.0,3300.0,3432.0,1217.0,1168.0
New Orleans,2006,0.339,0.367,885.0,1486.0,300.0,546.0,1.39,0.464,1519.0,1584.0,311.0,432.0,2379.0,2498.0,-102.0,0.44,0.502,0.459,6428.0,6286.0,2831.0,2883.0,0.758,0.76,2176.0,2014.0,1649.0,1530.0,918.0,860.0,1.18,1.25,7611.0,7842.0,0.734,0.269,0.495,611.0,527.0,67.0,3297.0,3358.0,1095.0,1197.0
New Orleans,2007,0.362,0.355,1256.0,1575.0,455.0,559.0,1.29,0.479,1537.0,1703.0,347.0,392.0,2512.0,2493.0,68.0,0.445,0.499,0.457,6674.0,6579.0,2971.0,3004.0,0.74,0.759,1941.0,1839.0,1436.0,1395.0,1025.0,853.0,1.17,1.21,7833.0,7962.0,0.747,0.291,0.514,522.0,554.0,88.0,3537.0,3346.0,1187.0,1119.0
New Orleans,2008,0.389,0.351,1621.0,1552.0,630.0,544.0,1.83,0.512,1785.0,1779.0,321.0,331.0,2494.0,2533.0,-162.0,0.466,0.501,0.46,6796.0,6604.0,3164.0,3038.0,0.769,0.771,1707.0,1579.0,1312.0,1217.0,937.0,815.0,1.22,1.19,8270.0,7837.0,0.754,0.27,0.506,637.0,470.0,58.0,3431.0,3348.0,974.0,1136.0
New Orleans,2009,0.364,0.354,1526.0,1625.0,556.0,575.0,1.56,0.501,1609.0,1649.0,338.0,290.0,2453.0,2459.0,-60.0,0.457,0.496,0.45,6366.0,6329.0,2911.0,2851.0,0.807,0.773,1833.0,1879.0,1479.0,1453.0,802.0,822.0,1.23,1.22,7857.0,7730.0,0.749,0.246,0.498,593.0,476.0,78.0,3255.0,3281.0,1029.0,1089.0
New Orleans,2010,0.363,0.355,1572.0,1517.0,571.0,539.0,1.66,0.506,1828.0,1925.0,300.0,367.0,2450.0,2586.0,-154.0,0.464,0.523,0.483,6842.0,6730.0,3178.0,3250.0,0.778,0.751,1661.0,1841.0,1293.0,1383.0,852.0,870.0,1.2,1.25,8220.0,8422.0,0.738,0.248,0.489,625.0,574.0,52.0,3302.0,3456.0,1103.0,1177.0
New Orleans,2011,0.36,0.357,1232.0,1562.0,444.0,557.0,1.58,0.493,1691.0,1739.0,359.0,396.0,2468.0,2457.0,-123.0,0.459,0.501,0.457,6416.0,6306.0,2944.0,2882.0,0.765,0.77,1897.0,1805.0,1452.0,1390.0,824.0,769.0,1.21,1.22,7784.0,7711.0,0.762,0.251,0.505,624.0,497.0,82.0,3292.0,3226.0,1069.0,1192.0
New Orleans,2012,0.333,0.317,777.0,1342.0,259.0,425.0,1.34,0.476,1368.0,1379.0,316.0,380.0,1991.0,1910.0,74.0,0.451,0.485,0.444,5103.0,5188.0,2300.0,2305.0,0.757,0.759,1397.0,1487.0,1057.0,1129.0,724.0,731.0,1.16,1.19,5916.0,6164.0,0.731,0.275,0.507,488.0,523.0,57.0,2715.0,2641.0,1024.0,915.0
